,Nome da Música,link,album,letra,artista
0,(Drop Dead) Beautiful (feat. Sabi),/britney-spears/drop-dead-beautiful-feat-sabi.html,Britney Spears Live: The Femme Fatale Tour,"Oh Diamond, diamond Shinin', shinin' Ooh boy You so fine Gotta be the finest thing That I seen in my life I will pay whatever Just to get a better view And yeah, your body looks so sick I think I caught the flu  Look at you Look at you Be my sweetie Be my honey tonight Look at you Look at you Be my sweetie Be my honey tonight  'Cause, you're beautiful (Drop dead) Beautiful (Drop dead) Beautiful (Drop dead) Beautiful (Drop-drop dead) Beautiful (Drop dead) Beautiful (Drop dead) Beautiful (Drop dead) You're some kind of fine  Boy, you know You're beautiful I know you heard it before Boy, you know You broke the mold Nobody even comes close Nobody even comes close You're some kind of fine  You must be b-i-g Because, you got me hypnotized Whoever said that beauty's on the inside is a liar 'Cause, what I'm looking at right now Would make a big girl cry So fasten up your seatbelt It's gon' be a bumpy ride  Look at you Look at you Be my sweetie Be my honey tonight Look at you Look at you Be my sweetie Be my honey tonight  'Cause, you're beautiful (Drop dead) Beautiful (Drop dead) Beautiful (Drop dead) Beautiful (Drop-drop dead) Beautiful (Drop dead) Beautiful (Drop dead) Beautiful (Drop dead) You're some kind of fine  Boy, you know You're beautiful I know you heard it before Boy, you know You broke the mold Nobody even comes close Nobody even comes close You're some kind of fine  Oh I think I like you Sabi Boy, boy Look at you I wanna get, get, get next to you Got me kinda hot But, I ain't sweatin' you Steam me like like a pot full of vegetables Boy, boy Look at me I know you wanna touch But, it ain't for free I don't need your money I just want your D Boy, come over here with your sexy ass  'Cause, you're beautiful (Drop dead) Beautiful (Drop dead) Beautiful (Drop dead) Beautiful (Drop-drop dead) Beautiful (Drop dead) Beautiful (Drop dead) Beautiful (Drop dead) You're some kind of fine  B-boy, you know You're beautiful I know you heard it before B-boy, you know You broke the mold Nobody even comes close Nobody even comes close You're some kind of fine Oh, Yeah! Oh! Boy you know",Britey Spears
1,(I Can't Get No) Satisfaction,/britney-spears/i-cant-get-no-satisfaction.html,Oops!... I Did It Again,"I can't get no satisfaction I can't get no satisfaction And I try, and I try, and I try, and I try I can't get no, I can't get no satisfaction  When I'm drivin' in my car And that man comes on the radio And he's tellin' me more and more About some useless information Supposed to fire my imagination I can't get no, oh no no no Hey hey hey, this what I say  CHORUS: I can't get no satisfaction I can't get no reaction And I try, and I try, and I try, and I try I can't get no, I can't get no satisfaction  When I'm watchin' my TV and that girl comes on and tells me how tight my shirt should be well she can't tell me who to be I've got my own identity I can't get no, oh no no no  I can't get no satisfaction I can't get no satisfaction  Repeat CHORUS  I can't get no, satisfaction I can't get no, satisfaction  I can't get no satisfaction baby",Britey Spears
2,(i Can't Get No) Satisfaction (traducción),/britney-spears/i-cant-get-no-satisfaction-traduccion.html,,"[Yo No Puedo Tener Satisfación] Yo no puedo tener satisfación Yo no puedo tener satisfación Y yo tenté, y yo tenté, y yo tenté, y yo tenté Yo no puedo tener, yo no puedo tener satisfación  Cuando yo estoy dirigiendo mi coche Y ese cara llega en el radio, Y él dice mucho pero Acerca de información inúteis, És necesario para el fuego de la imaginación Yo no puedo tener, oh no, no, no Hei, hei, hei, eso és el que yo dije  Chorus: Yo no puedo tener satisfación Yo no puedo tener reación Y yo tenté, y yo tenté, y yo tenté, y yo tenté Yo no puedo tneer, yo no puedo tener satisfación  Cuando yo estoy asistiendo TV Y la niña llega para mi decir O cuanto apretada mía camisa debe ser Bien, ella no pode mi decir quien debo ser Porque yo tengo mía identidad Yo no puedo tener, oh no, no, no  Yo no puedo tener satisfación Yo no puedo tener satisfación  Chorus  Yo no puedo tener satisfación Yo no puedo tener satisfación  Yo no puedo tener satisfación querido",Britey Spears
3,(I Got That) Boom Boom (feat. Ying Yang Twins),/britney-spears/i-got-that-boom-boom.html,In the Zone,"Intro-Ying Yang Twins Shorty! We gonna go to the club and Get drunk with britney Oh,oh,oh,hey,hey Ying Yang and who? Britney Spears uh huh Shorty!She think she fine Fine enough to blow your mind Shorty!She think she bad Get on the floor and shake that ass Shorty!She think she fine Fine enough to blow your mind Shorty!She think she bad Get on the floor and shake that ass  Britney: Yeah This is for all those southern boys out there Check this out  I see you lookin my way and I know that You have somethin' to say Watchin' every inch of my body Like you wanted to play so here we go Boom boom boy, you look so sexy Boom boom boy, you look so sexy I begin to dance just a little bit To turn you on Yeah, I got that  Chorus: I got that boom boom That you want Watchin' me all night long Hurry up before it's gone I got that boom boom That you want I don't think you should wait One minute might be too late  You had caught may eye And I wanted to get to know you Don't be shy I want you to come closer So Whatcha' gonna' do so here we go Boom boom boy you look so sexy Boom boom boy you look so sexy Tonight  Rap-Ying Yang Twins Shorty!She think she fine Fine enough to blow your mind Shorty!She think she bad Get on the floor and shake that ass Shorty!She think she fine Fine enough to blow your mind Shorty!She think she bad Get on the floor and shake that ass Twiddly-ly twiddle liddle-y Twiddly-ly twiddle liddle-y Twiddly-ly twiddle liddle-y Shorty!Get on the floor and shake that ass for me Twiddly-ly twiddle liddle-y Twiddly-ly twiddle liddle-y Twiddly-ly twiddle liddle-y Shorty!Get on the floor and shake that ass for me She naked she soaking wet Striptease like a mutha dripping sweat She got a little body that I can't Forget I ain't met a young lady I don't date her yet Britney Spears and Ying Yang Twins Hahh!We done became friends Might as well let the party begin If you with in then join on in Shorty!She think she fine Fine enough to blow your mind Shorty!She think she bad Get on the floor and shake that ass Shorty!She think she fine Fine enough to blow your mind Shorty!She think she bad Get on the floor and shake that ass   Boom boom boy you look so sexy (damn you're so sexy) Boom boom boy you look so sexy (Whatcha' doing to me) Boom boom boy you look so sexy (Damn you're turning me on) Boom boom boy you look so sexy",Britey Spears
4,(Tell Me) What You Sippin' On,/britney-spears/tell-me-what-you-sippin-on.html,,"AC: (Ay oh) let me do my thing with a New York verse AC will make you hot, girl remove your shirt I got my eyes closed you could do your dirt And by the way, do you still got that school girl skirt? Like the cops imma watch her watch me Shot with a chaser like the paparazzi Its crazy she still on top a the biz I'm with Brit, while KFed watchin' the kids  Britney (verse 1): He was kinda like a summer fling Hot and heavy through that April rain May and June he was after me By July, it was getting hypnotic So he kinda started feelin my fame I don't really wanna say his name All I know is I liked his drank All my girls say mmm if you feel me I saw you there, I cant get you out my sight boy Better go and get another drank, cuz you aint getting none of mine, no  Chorus: Ohh, tell me whatcha sippin on Baby, baby, baby Ohh, tell me whatcha sippin on Baby, baby, baby  Britney (verse 2): What I feel is more than a crush Then again, its not quite love Just enough to fill my cup Whatever you do, just keep it flowin' So tell me how you like it babe On the rocks, or straight up babe Oh boy don't be afraid, I'm right here and I'm gonna show ya I saw you there, I can't get you outta my mind, boy Better go and get another drink All my girls say  Chorus: Ohh, ohh, tell me whatcha sippin' on Baby, baby, baby Ohh, tell me whatcha sippin' on Baby, baby, baby  I can't ignore it boy I feel like I'm yours The way you look at me I just can't say no So we should hook up, who knows where we will go Cause baby when I'm with you, I feel I'm losing control  Oh boy you hit the spot See baby, please don't stop Do you like my lemon drop (just taste it baby) You make me feel so hot Summertime love is all we got Here we are, lets take a shot (this is AC baby)  AC: All the tabloids tell me how you was a handful Toxic, try to make you an example You know me, I'm just tryin' to have you shoot for the airport(?) Cause all this stress got me losing my hair too Lets release, get live on the track Got my baby in the whip, she could ride on my lap Put that one finger up mommy, guzzle some more Tell them the only issues you got is the covers your on, uh One more drink, make us some a the bomb Order shot, bartender gave one in the arm All you rappers better recognize the best Cuz AC about to blow like a breathalyzer test  Chorus: Ohh, ohh, tell me whatcha sippin on Ohh, tell me whatcha sippin on Baby, baby, baby  So clap Baby that's so clap So clap (so clap common) Are you ready for that's so clap So clap, are you ready for that's so clap So clap, are you ready for that's so clap So clap, are you ready for that so clap",Britey Spears
5,(You Drive Me) Crazy,/britney-spears/you-drive-me-crazy.html,The Essential Britney Spears,"Baby, I'm so into you You've got that something, what can I do? Baby, you spin me around, oh The earth is movin, but I can't feel the ground  Everytime you look at me My heart is jumpin, it's easy to see Lovin' you means so much more More than anything I ever felt before  You drive me crazy I just can't sleep I'm so excited, I'm in too deep Oh,Oh,Oh Crazy, but it feels alright Baby thinkin of you keeps me up all night  Tell me, you're so into me That I'm the only one you will see Tell me I'm not in the blue, oh That I'm not wastin My feelings on you Everytime I look at you My heart is jumpin, what can I do?  You drive me crazy I just can't sleep I'm so excited, I'm in too deep Oh,Oh,Oh Crazy, but it feels alright Baby thinkin of you keeps me up all night  Oh, yeah, yeah you drive me crazy sing it (crazy) Yeah  Stop.....  You drive me crazy baby excited, I'm in too deep Oh,Oh,Oh but it feels alright Baby thinkin of you keeps me up all night  You drive me crazy I just can't sleep I'm so excited, I'm in too deep Oh,Oh,Oh Crazy, but it feels alright Baby thinkin of you keeps me up all night  sing it (crazy) x2  You drive me crazy, but it feels alright Baby thinkin of you keeps me up all night",Britey Spears
6,(You Drive Me) Crazy (traducción),/britney-spears/you-drive-me-crazy-traduccion.html,,"Me Vuelves Loca  Cariño, me sientes dentro de ti Tú tienes ese algo ¿qué puedo hacer? Cariño, me traes loca allá donde vaya, oh La tierra se está moviendo, pero no siento el suelo  Cada vez que me miras Mi corazón empieza a saltar, es fácil de notar… Amarte significa mucho más… Más de lo que he sentido hasta ahora…  Me vuelves loca, no puedo dormir Estoy tan emocionada, siento algo tan profundo Loca, pero me siento tan bien Cariño, pensando en ti me quedo despierta toda la noche…  Dime, te siento tan dentro de mi Que soy la única, la única que vas a ver Dime, no soy tonta Que no estoy desperdiciando mis sentimientos contigo  Amarte significa mucho más… Más de lo que he sentido hasta ahora…  Me vuelves loca, no puedo dormir Estoy tan emocionada, siento algo tan profundo Loca, pero me siento tan bien Cariño, pensando en ti me quedo despierta toda la noche…  Loca, no puedo dormir Estoy tan emocionada, siento algo tan profundo Loca, pero me siento bien Todos los días y todas las noches  Me vuelves loca (me vuelves loca, cariño) Estoy tan emocionada, siento algo tan profundo Oh Ohhhhhh, Loca (me haces sentir tan bien) Cariño, pensando en ti me quedo despierta toda la noche  Me vuelves loca (me vuelves lolca, cariño) Sí, sí... Oh loca (me haces sentir tan bien) Loca, pero me siento bien Cariño, pensando en ti me quedo despierta toda la noche Cariño, pensando en ti me quedo despierta toda la noche",Britey Spears
7,...Baby One More Time,/britney-spears/baby-one-more-time.html,The Essential Britney Spears,"Oh baby baby Oh baby baby (wow) Oh baby baby How was I supposed to know? That something wasn't right here Oh baby baby I shouldn't have let you go And now you're out of sight, yeah  Show me how you want it to be Tell me baby cause I need to know now Ooh because  My loneliness is killing me (and I) I must confess I still believe (still believe) When I'm not with you I lose my mind Give me a sign Hit me baby one more time  Oh baby baby The reason I breathe is you Boy you got me blinded Oh pretty baby There's nothing that I wouldn't do That's not the way I planned it  Show me how you want it to be 'Tell me baby 'cause I need to know now Oh because  My loneliness is killing me (and I) I must confess I still believe (still believe) When I'm not with you I lose my mind Give me a sign Hit me baby one more time  Oh baby baby (wooah) Oh baby baby (yeah yeah wow) Oh baby baby How was I suposed to know? Oh pretty baby I shouldn't have let you go I must confess That my loneliness is killing me now Don't you know I still believe? That you will be here And give me a sign Hit me baby one more time  My loneliness is killing me (and I) I must confess I still believe (still believe) When I'm not with you I lose my mind Give me a sign Hit me baby one more time  I must confess That my loneliness is killing me now Don't you know I still believe? That you will be here And give me a sign Hit me baby one more time",Britey Spears
8,1950's Pepsi Commercial,/britney-spears/1950s-pepsi-commercial.html,,The lively crowd today agrees Those who think the word Pepsi Young people meet Choose right The modern light one Now it's pepsi Pepsi For those who think young Right The modern light one Now it's pepsi Pepsi For those who think young,Britey Spears
9,3,/britney-spears/3-letras.html,The Essential Britney Spears,"1, 2, 3 Not only you and me Got one eighty degrees And I'm caught in between Countin' 1, 2, 3 Peter, Paul &amp; Mary Gettin' down with 3P Everybody loves *** Countin'  Babe, pick a night To come out and play If it's alright What do you say?  Merrier the more Triple fun that way Twister on the floor What do you say?  Are - you in Livin' in sin is the new thing (yeah) Are - you in I am countin'!  1, 2, 3 Not only you and me Got one eighty degrees And I'm caught in between Countin' 1, 2, 3 Peter, Paul &amp; Mary Gettin' down with 3P Everybody loves *** Countin'  Three is a charm Two is not the same I don't see the harm So are you game?  Lets' make a team Make 'em say my name Lovin' the extreme Now are you game?  Are - you in Livin' in sin is the new thing Are - you in I am countin'!  1, 2, 3 Not only you and me Got one eighty degrees And I'm caught in between Countin' 1, 2, 3 Peter, Paul &amp; Mary Gettin' down with 3P Everybody loves ***  What we do is innocent Just for fun and nothin' meant If you don't like the company Let's just do it you and me You and me Or three Or four On the floor!",Britey Spears
