,Nome da Música,link,album,letra,artista
0,A Garota Que Não Gosta de Meninos,/clarice-falcao/a-garota-que-nao-gosta-de-meninos.html,,"Eu não gosto de meninos Não é nada com você, Nem com você  Eu prefiro as garotas Vocês devem entender Vocês também preferem  Não adianta me dar flores Não adianta me cantar  Eu já tô bem decidida É melhor deixar pra la",Clarice Falcão
1,A Gente Voltou,/clarice-falcao/a-gente-voltou.html,Monomania,"Polícias abaixem as armas E troquem carícias Que a gente voltou  Bandidos de gorro Não subam o morro Relaxem que a gente voltou  Mas e se a gente separa Se a gente para e se parará Para que se a gente para O mundo acabou  Médicos nas Utis Larguem seus bisturis Que a gente voltou  Pacientes à beira da morte Reparem que sorte: A gente voltou  Mas e se a gente separa Se a gente para e se parará Para que se a gente para O mundo acabou  Você que tá no Titanic Parou o chilique Que a gente voltou  Não entra na bad, Romeu Julieta morreu Mas a gente voltou  Mas e se a gente separa Se a gente para e se parará Para que se a gente para O mundo acabou  Para que se a gente para o mundo Para que se a gente para Para que se a gente para o mundo Para que se a gente parará  Para que se a gente para o mundo Para que se a gente para Para que se a gente para o mundo Para!",Clarice Falcão
2,A Volta do Mecenas,/clarice-falcao/a-volta-do-mecenas.html,Problema Meu,"Aonde foi aquele moço bom da Renascença Pai gentil das fábulas, romances e poemas Quem vai sustentar conosco o peso dessa pena Estamos todos esperando a volta do Mecenas  E você diz Olha que lindas as rosas Quando eu digo acorda Quem se importa  Quando foi que entramos nesse estado de demência A cada nova década aumenta a decadência E quem é que toma as divinas providências Eu não tenho pressa mas me falta paciência  E você diz Olha o raiar da aurora Quem dormir agora Vai perder a hora  De ver o sol nascer  Pois ainda há tempo para a nova Renascença Para abençoar nossos romances e poemas E fazer sorrir a tinta dessas novas penas Haverá de vir um dia a volta do Mecenas  Olha o raiar da aurora Quem dormir agora Vai perder a hora De ver o sol nascer",Clarice Falcão
3,Acho Melhor Terminar (part. Gregório),/clarice-falcao/acho-melhor-terminar.html,,"Se eu digo chiclete e você diz chicrete Se eu digo croquete e você diz cloquete Chiclete, chicrete, croquete, cloquete... Acho melhor terminar!  Se eu digo bufê e você diz buffet Se eu peço um pavê e você crème brûlée Bufê, buffet, pavê, crème brûlée... Acho melhor terminar!  Se eu digo problema e você diz pobrema Se algo te queima e você diz que quema Problema, pobrema, assim você se ""quema"" Acho melhor terminar!  Se eu digo fundi e você diz fondue Se eu digo eu te amo e você I love you Fundi, fondue, eu te amo, I love you... Acho melhor terminar!  Mas se, se a gente terminar Eu perco o ar E sem ar como é que dá para respirar?  Então se eu digo fundi e você diz fondue Eu esqueço o fundi e digo I love you Problema, pobrema, são coisas tão pequenas Acho melhor terminar com esse papo de terminar!",Clarice Falcão
4,Australia,/clarice-falcao/australia.html,,"I could run to Australia I could fly to Japan Could go to South America Well, everybody can  Could run like hell to China I could go to Egypt Could run like a late rabbit And I wouldn't move one bit  I'm stuck here in the darkness Blinded by all the light Standing outside my body With my body still in sight  I could travel the whole world I could just stand up still And that's, I know, an image That would make some people ill  Someday somebody said to me I think it was a man ""As long as you're okay with it"" And that I think I am",Clarice Falcão
5,Bad Trip,/clarice-falcao/bad-trip.html,,Oi É você de novo Cê não mudou nada O mesmo uniforme O mesmo jeitinho de segurar uma arma Como se fosse um filho  Chegou com a calma De um convidado Nos oferecendo Um gole a mais daquele mesmo cálice Não é que a gente aceita?  Você é uma bad trip Você é uma bad trip Você é uma bad trip Só que sem trip  Você é uma bad trip Você é uma bad trip Você é uma bad  Sentou na poltrona Tirou suas botas Deixou suas coisas E a gente perdido na nossa própria casa Que bad trip fudida  Eu acho que eu vou morrer Eu vou morrer Eu já morri? Será que a onde vai passar? Nunca vai passar E eu vou morar aqui Nessa loucura  Você é uma bad trip Você é uma bad trip Você é uma bad trip Só que sem trip  Você é uma bad trip Você é uma bad trip Você é uma bad  Você é uma bad trip Você é uma bad trip Você é uma bad trip Só que sem trip  Você é uma bad trip Você é uma bad trip Você é uma bad,Clarice Falcão
6,Banho de Piscina,/clarice-falcao/banho-de-piscina.html,Problema Meu,"Eu quero ver você Numa piscina de óleo fervendo Pedindo socorro e eu te oferecendo Uma dose de rum pra você se esquentar  Eu quero ver você Numa piscina de óleo fervendo Gritando que já está quase morrendo Desculpe, meu bem, mas eu não sei nadar  Você me traía Trocando carinhos com outras pessoas Mas com seu jeitinho me levava no papo E a gente acabava voltando às boas  Mas naquela noite Em que meu coração era só esperança Eu juro que não pude crer no que vi Você seduzindo o meu segurança  E ainda vem Posando de bom coração, gente fina Dizer que pra mim você só quer o bem Pois eu quero que você vá tomar banho de piscina",Clarice Falcão
7,Capitão Gancho,/clarice-falcao/capitao-gancho.html,Monomania,"Se não fossem as minhas malas cheias de memórias Ou aquela história que faz mais de um ano Não fossem os danos Não seria eu  Se não fossem as minhas tias com todos os mimos Ou se eu menino fosse mais amado Se não desse errado Não seria eu  Se o fato é que eu sou muito do seu desagrado Não quero ser chato, mas vou ser honesto Eu não sei o que você tem contra mim Você pode tentar por horas me deixar culpado Mas vai dar errado, já que foi o resto Da vida inteira que me fez assim  Se não fossem os ais E não fosse a dor E essa mania de lembrar de tudo feito um gravador Se não fosse Deus bancando o escritor  Se não fosse o Mickey e as terças-feiras E os ursos panda e o andar de cima Da primeira casa em que eu morei E dava pra chegar no morro só pela varanda  Se não fosse a fome e essas crianças E esse cachorro e o Sancho Pança Se não fosse o Koni e o Capitão Gancho Eu não seria eu",Clarice Falcão
8,CDJ,/clarice-falcao/cdj.html,Tem Conserto,"Você e o seu equipamento eletrônico Me deixam em um estado catatônico Seu set me toca de um jeito Seu grave me corta o peito  O som que as coisas fazem na sua mão Me põe querendo que eu fosse um botão Me pega, me gira, me aperta Me solta só na hora certa  Quando a festa esvaziar E essa noite tiver fim Eu queria que você tocasse uma só pra mim  Daqui seu rosto é um grande pisca pisca Mas se fosse só eu aqui na pista Minha prece seria ouvida A gente na mesma batida  O som que as coisas fazem na sua mão Me põe querendo que eu fosse um botão Me pega, me gira, me aperta Me solta só na hora certa  Quando a festa esvaziar E essa noite tiver fim Eu queria que você tocasse uma só pra mim",Clarice Falcão
9,Clarice,/clarice-falcao/clarice.html,Problema Meu,"Clarice, suas letras não são chiques Não tem tu, não têm pronome oblíquo Mas que mico Quem que você quer impressionar, Clarice? Sem fazer pensar, Clarice? Sem dificultar pro seu ouvinte Ter que trabalhar pra entender  Você acha que eu sou besta? Onde tá na minha testa Que basta uma bosta de uma composição de quinta?  Cê nem fala de quimera Cê nem sabe o que é quimera É uma figura mitológica, eu vi no Wikipédia  Clarice, sempre os mesmos três acordes Olha, um si bemol não morde Não precisa poupar dedo É medo de gastar, Clarice? Não é melhor usar, Clarice? Imagina só, que máximo Que ótimo agora uma sétima  Essa música barata Serve nem pra serenata Não tem nem metáfora e fora que é meio chata  Traz alguma novidade Pra essa sua sonoridade Que talvez ainda te sobre um pouco de dignidade",Clarice Falcão
10,Como É que Eu Vou Dizer que Acabou?,/clarice-falcao/como-e-que-eu-vou-dizer-que-acabou.html,Problema Meu,"Era uma vez Mas como haveria de ser duas vezes ou três? Quanta burrice! Era um casal E esse casal é a gente, eu comecei mal Esquece o que eu disse  Veja bem, é que agora, agora é um momento meio... Quando eu nasci eu sempre fui tão... Resumindo A política não tá favorecendo o movimento de... Meu Deus Como é que eu vou dizer que acabou?  Há um tempão Mas esse tempão nunca que vai caber na canção Como é difícil Pensa que o fim Mas é que chamar de ""o fim"" me parece tão ruim Eu vou do início  Quando a gente pensa alguma coisa, quer dizer Algumas vezes nessa vida a gente quer um... Não, esquece É que quando, por exemplo, um elefante Nada a ver esse elefante Como é que eu vou dizer que acabou?  Toda vez ou pelo menos quase toda vez... Tem um negócio que eu pensei essa semana Não me lembro Que agonia não lembrar de alguma coisa, não é mesmo? Ha ha ha Como é que eu vou dizer que acabou?  Quando a gente pensa alguma coisa, quer dizer Algumas vezes nessa vida a gente quer um... Não, esquece É que quando, por exemplo, um elefante Nada a ver esse elefante Como é que eu vou dizer que acabou?  Toda vez ou pelo menos quase toda vez... Tem um negócio que eu pensei essa semana Não me lembro Que agonia não lembrar de alguma coisa, não é mesmo? Ha ha ha Como é que eu vou dizer que acabou?",Clarice Falcão
11,Coração Radiante,/clarice-falcao/coracao-radiante.html,,"O que eu mais quero é te dar um beijo E o seu corpo acariciar Você bem sabe que eu te desejo Tá escrito no meu olhar  O seu sorriso é um paraíso Onde contigo eu queria estar Ai, quem me dera se eu fosse o céu Você seria o meu luar  Eu te quero só pra mim Como as ondas são no mar Não dá pra viver assim Querer sem poder te tocar (2x)",Clarice Falcão
12,De Todos os Loucos do Mundo,/clarice-falcao/de-todos-os-loucos-do-mundo.html,Monomania,"De todos os loucos do mundo eu quis você Porque eu tava cansada de ser louca assim sozinha De todos os loucos do mundo eu quis você Porque a sua loucura parece um pouco com a minha  Você esconde a mão, diz que é Napoleão Boa parte de mim acredita que sim Se eu converso com ar no meio do jantar Você espera a vez dele de falar  Você fala chinês pela primeira vez Eu dou opinião num perfeito alemão Se eu emito um som que você acha bom A gente faz um dueto fora do tom  De todos os loucos do mundo eu quis você Porque eu tava cansada de ser louca assim sozinha De todos os loucos do mundo eu quis você Porque a sua loucura parece um pouco com a minha",Clarice Falcão
13,Deve Ter Sido Eu,/clarice-falcao/deve-ter-sido-eu.html,Problema Meu,"Eu já não amo mais você Mas eu ainda odeio essa menina Eu já joguei no lixo o seu tênis Seu casaco e seu isqueiro Mas eu sei que se por alguma mágica O prato dela vem com amendoim E ela é alérgica E o cozinheiro só repete assim: ""Cadê a lógica?"" Se ela for parar no hospital Passando muito mal Deve ter sido eu  Eu já não amo mais você Mas eu ainda odeio essa menina Eu não sei mais a placa do seu carro Não me lembro do seu cheiro Mas eu sei que numa tarde fatídica Se ela de repente tropeçar Na Joana Angélica E todo mundo em volta gargalhar: ""Como é patética"" Se ela implorar aos céus em vão Pra entrar dentro do chão Deve ter sido eu  Meu coração já parou de parar por você Já te respondo com a voz de alguém que é normal Ela aparece, o meu corpo começa a ferver Que nem o coelho do cara em Atração Fatal Aliás, esse plano não é mau  Eu já não amo mais você Mas eu ainda odeio essa menina Eu não sei mais se o seu aniversário Era mesmo em fevereiro Mas eu sei que se num dia bucólico Ela se arruma e sai Sob um sol fantástico E eis que sobre ela cai Um raio histórico Que divide o corpo dela em dois E sobra o pó depois Deve ter sido Deus",Clarice Falcão
14,Dia D,/clarice-falcao/dia-d.html,Tem Conserto,"Finalmente chegou hoje Eu já tava pra morrer Já tô toda preparada Pro negócio acontecer  Esperei semana toda Hoje vai ter que rolar  Esperei a semana toda Hoje vai ter que rolar Não tem como dar errado É a minha hora de brilhar  Esperei semana toda Hoje vai ter que rolar Não vai ter escapatória Meu amor, não vai prestar  Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar  Hoje eu vou dar Today I'm gonna give Hoy voy a dar  Já faz muito, muito tempo Eu nem lembro como é Tô com a calcinha boa Que se salva quem quiser  Esperei semana toda Hoje vai ter que rolar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar  Dar, dar, dar, dar, dar, dar Dar, dar, dar, dar, dar, dar Dar, dar, dar, dar, dar, dar  Eu, eu, eu, eu, eu, eu Eu, eu, eu, eu, eu, eu Eu, eu, eu, eu, eu, eu Eu, eu, eu, eu, eu, eu",Clarice Falcão
15,Duet,/clarice-falcao/duet.html,Problema Meu,"This song was supposed to be a duet But he left me and now he just can't do it He's not here anymore He's not answering the phone So what I'll do it alone  Yes I do it to the ear Well that gives me fear Yes I complicated stuff Not remembering his lines But I think I'm gonna be fine Just fine without him  I'm just fine without him I can breathe without him I can sing without him I just got to the chorus without him  How much do you love me? Is there someone above me? I don't know really How those questions were replied But I can assume that he lied  ""I'll never leave you"" That verse was his creation But considering the current situation Is ironic the word that you are looking for But I just don't care anymore Just fine without him  I'm just fine without him And I can breathe without him And I can sing without him I just got to this chorus without him  I'm just fine without him And I can breathe without him And I can sing without him I just finished the whole song without him  This song was supposed to be a duet",Clarice Falcão
