,Nome da Música,link,album,letra,artista
0,À L'enseigne de La Fille Sans Coeur,/edith-piaf/a-lenseigne-de-la-fille-sans-coeur.html,Une Vie em Chansons,"Le ciel est bleu, le vent du large Creuse la mer bien joliment Vers le port montant à la charge Galoppent seize escadrons blancs C'est un port tout au bord du monde Dont les rues s'ouvrent sur l'infini Mais de là comme la terre est ronde, On ne voit pas les Etats-Unis. Tout le monde s'en fout, 'y a du bonheur 'y a un bar chez Rita la blonde Tout le monde s'en fout, 'y a du bonheur À l'enseigne de la Fille Sans Coeur! L'accordéon joue en majeur Les refrains de ce vaste monde 'y a la belle blonde, Cette rose en fleur, À l'enseigne de la Fille Sans Coeur. Dans ce petit bar, c'est là qu'elle règne On voit flamber sa toison d'or Sa bouche est comme un fruit qui saigne Mais on dit que son coeur est mort Pourtant les gars sont là, tout drôles: Les p'tits, les durs, les malabars Qui entrent en roulant des épaules 'y en a qui sont venus d'Dakkar. 'y en a d'Anvers, 'y en a d'Honfleur, Bourlinguant parfois jusqu'aux pôles Ils la regardent, c'est tout leur bonheur, Mais pas un ne connaît ses faveurs L'accordéon joue en majeur Tous les airs: les tristes, les drôles... 'y a des gars qui jouent leur bonheur À l'enseigne de la Fille Sans Coeur. Le patron connaissait la musique: Il aimait le son des écus Il disait à sa fille unique: ""Fuis l'amour, c'est du temps perdu!"" Mais un soir, la mer faisait rage... On vit entrer un étranger Aux beaux yeux d'azur sans nuages C'est alors que tout a changé... Il a regardé la fille sans coeur Elle était comme un ciel d'orage Quelqu'un a fait: ""'y a un malheur"" On entendait battre les coeurs. L'accordéon joue en mineur Un refrain dans le vent sauvage 'y a une fille le visage en pleurs À l'enseigne de la Fille Sans Coeur. Il a dit: ""C'est toi, ma divine!"" Elle répondit: ""Je suis à toi..."" Il l'a serrée sur sa poitrine Elle a pleuré entre ses bras. Les autre alors mélancoliques Sont partis avec un soupir... Le vent chantait sur l'Atlantique Pour ce coeur qui venait de s'ouvrir Ils ont filé vers leur grand bonheur Le patron dut fermer boutique On l'a vu boire toutes ses liqueurs À l'enseigne de la Fille Sans Coeur Oui, mais l'Etat, cet accapareur, Qu'a toujours les sens du comique A mis le bureau du Percepteur À l'enseigne de la Fille Sans Coeur...",Edith Piaf
1,A Quoi Ça Sert L'amour,/edith-piaf/a-quoi-ca-sert-lamour.html,A L'Olympia 1962,"À quoi ça sert, l'amour ? On raconte toujours Des histoires insensées À quoi ça sert d'aimer ?  L'amour ne s'explique pas ! C'est une chose comme ça ! Qui vient on ne sait d'où Et vous prend tout à coup.  Moi, j'ai entendu dire Que l'amour fait souffrir, Que l'amour fait pleurer, À quoi ça sert d''aimer ?  L'amour, ça sert à quoi ? À nous donner d'la joie Avec des larmes aux yeux... C'est triste et merveilleux !  Pourtant on dit souvent L'amour c'est décevant Qu'il y en a un sur deux Qui n'est jamais heureux...  Même quand on l'a perdu L'amour qu'on a connu Vous laisse un goût du miel - L'amour c'est éternel !  Tout ça c'est très joli, Mais quand tout est fini Il ne vous reste rien Qu'un immense chagrin...  Tout ce qui, maintenant, Te semble déchirant Demain, sera pour toi Un souvenir de joie !  En somme, si j'ai compris, Sans amour dans la vie, Sans ses joies, ses chagrins, On a vécu pour rien ?  Mais oui! Regarde-moi ! à chaque fois j'y crois ! Et j'y croirai toujours... Ça sert à ça l'amour !  Mais toi, t'es le dernier ! Mais toi, t'es le premier ! Avant toi y' avait rien Avec toi, je suis bien !  C'est toi que je voulais ! C'est toi qu'il me fallait ! Toi que j'aimerai toujours... Ça sert à ça l'amour !",Edith Piaf
2,Adieu Mon Coeur,/edith-piaf/adieu-mon-coeur.html,Une Vie em Chansons,Adieu mon coeur On te jette au malheur Tu n`auras pas mes yeux Pour mourir... Adieu mon coeur Les échos du bonheur Font tes chants tristes Autant qu`un repentir  Autrefois tu respirais le soleil d`or Tu marchais sur des trésors On était vagabonds. On aimait les chansons. Ç`a fini dans les prisons.  Adieu mon coeur On te jette au malheur. Tu n`auras pas mes yeux Pour mourir... Adieu mon coeur Les échos du bonheur Font tes chants tristes Autant qu`un repentir... Un repentir...,Edith Piaf
3,Autumn Leaves,/edith-piaf/autumn-leaves.html,Une Vie em Chansons,"The falling leaves Drift by the window The autumn leaves All red and gold I see your lips The summer kisses The sunburned hands I used to hold. Since you went away The days grow long... And soon I'll hear Old winter songs But I miss you most of all My darling, when autumn leaves start to fall... C'est une chanson Qui nous ressemble Toi qui m'aimais Et je t'aimais Nous vivions tous les deux ensemble Tou qui m'aimais Moi qui t'aimais Mais la vie sépare Ceux qui s'aiment Tout doucement Sans faire de bruit Et la mer efface sur le sable Les pas des amants désunis. Since you went away The days grow long... And soon I'll hear Old winter songs But I miss you most of all My darling, when autumn leaves start to fall...",Edith Piaf
4,Avant L'heure,/edith-piaf/avant-lheure.html,30 Anniversaire: l' Intégrale 1946-1963,"Avant l’heure, c’est pas l’heure Après l’heure, c’est plus l’heure Je l’ai rencontré un peu trop tard Il avait déjà vu Germaine Il m’a aimée pendant cinq semaines Je me foutais du tiers comme du quart Et puis un jour, il a compris Il m’a menti encore trois semaines Puis il est allé vers Germaine. Ah mes enfants! Qu’est-ce que j’ai pris!... Je lui en veux pas… Que faire à ça? Avant l’heure, c’est pas l’heure Après l’heure, c’est plus l’heure Quand on dit “moins le quart”, c’est moins le quart! Je l’ai rencontré un peu trop tard!  Pierre aime la femme de Jean Jean aime la femme de Pierre La femme de Pierre aime un sergent La femme de Jean aime un notaire Qu’est-ce qu’ils espèrent Ces pauvres gens? Si la femme de Pierre avait vu le sergent Avant de rencontrer Pierre… Si la femme de Jean avait vu le notaire Avant de rencontrer Jean… Ce serait une toute autre affaire! ‘y aurait du bonheur à Nogent Au lieu qu’on y pleure…  L’heure, c’est l’heure…  Avant l’heure, c’est pas l’heure Après l’heure, c’est plus l’heure Quand on dit “moins le quart”, c’est moins le quart! Je l’ai rencontré un peu trop tard!  Trop tard!...",Edith Piaf
5,Avant Nous,/edith-piaf/avant-nous.html,30 Anniversaire: l' Intégrale 1946-1963,"Un printemps meurt, en vient un autre Et tout change, et tout est pareil Le bonheur n’est pas le nôtre Pas plus que le soleil Écoute, écoute dans le monde Cet orchestre de coeurs battants De partout ils se répondent Depuis combien de temps?  Avant nous D’autres amants ont dit: “Je t’aime” Comme nous… Avant nous D’autres ont souffert, ont trahi même Comme… Non! Ne crois pas ça! Ne crois pas ça! L’amour n’est pas cette misère L’amour, c’est toi entre mes bras… Avant nous D’autres ont dansé sur des “Je t’aime” Comme nous… Avant nous D’autres se sont quittés quand même Comme… Non! Pas comme nous...Ne crois pas ça! On a dansé sur toute la terre Et l’on dansera sur ces mots-là  Aimons-nous Comme ceux-là qui tant s’aimèrent Comme nous Et comme ceux qui nous suivront Et comme ceux qui s’aimeront Après nous…",Edith Piaf
6,Avec Ce Soleil,/edith-piaf/avec-ce-soleil.html,At the Paris Olympia,"Avec ce soleil on avait envie De ne pas parler De boire de la vie A petites goulées Sous le ciel superbe Le long du talus, mâchant un brin d’herbe Et jupe collée, elle regardait D’un air triomphant Ce jeune homme imberbe Ou encore presqu’enfant Qui la désirait Il aurait fallu presque rien, peut-être Un geste de lui Un sourire d’elle qui lui dise “viens” Il aurait fallu presque rien, peut-être Qu’un oiseau s’enfuie Avec un bruit d’ailes pour que tout soit bien…  Pour que par-dessus le toit de l’usine Le long des murs gris Pour que par-dessus la route voisine Et ses pavés gris Pour que par-dessus toutes les collines Pour que par-dessus toutes les forêts Pour que monte au ciel sans cloches et sans noces Un amour de gosses Qui purifierait… Mais c’étaient déjà deux enfants durcis Qui ne croyaient plus d’avoir à se dire Que les mots des grands… Que la vie déjà, broyait sans merci Qui ne savaient plus ni rêver, ni rire Coeur indifférent…  Et ce jour encore Le long du talus Le coquelicots avec les bleuets En vain attendirent Une main cruelle Qui les cueillerait…",Edith Piaf
7,Bal Dans Ma Rue,/edith-piaf/bal-dans-ma-rue.html,Une Vie em Chansons,"Ce soir, il y a bal dans ma rue Jamais encore, on n’avait vu Une telle gaieté, une telle cohue Il y a bal dans ma rue Et dans le petit bistrot Où la joie coule à flots Sept musiciens perchés sur un tréteau Jouent pour les amoureux Qui tournent deux par deux Le rire aux lèvres et les yeux dans les yeux Ce soir, il y a bal dans ma rue Tout le monde se sent un peu ému Peut-être bien qu’on a trop bu Il y a bal dans ma rue  Il était si beau que lorsqu’il me sortait Aussitôt tout le monde sur lui se retournait J’étais si fière de lui, j’ai pas pu résister A ma meilleure amie, un jour je l’ai présenté Ils se sont mariés ce matin Ils formaient un couple épatant Et moi, j’étais témoin… Et voilà pourquoi…  Ce soir, il y a bal dans ma rue Jamais encore on n’avait vu Une telle gaieté, une telle cohue Il y a bal dans ma rue Et dans le petit bistrot Où la joie coule à flots Sept musiciens perchés sur un tréteau Jouent pour les amoureux Qui tournent deux par deux Le rire aux lèvres et les yeux dans les yeux Ce soir, il y a bal dans ma rue Jamais encore on n’avait vu Une telle gaieté, une telle cohue Il y a bal dans ma rue… Y a eu bal dans ma rue…",Edith Piaf
8,Boulevard Du Crime,/edith-piaf/boulevard-du-crime.html,La Môme de Paris,"Sur le boulevard du Crime Pour voir la pantomime Ce soir on se bouscule Au théâtre des Funambules Les amours de Pierrot Ça fait pleurer Margot Et rire dans la tourmente Le Paris de mille huit cent trente Masques sont vert damasques Et la foule coasse Au milieu du carnaval des grimaces  Mais dans la foule qui rit de Pierrot Il y a toujours un Arlequin Dans la vie, faut des arlequins Sans quoi l’amour ce ne serait que des mots Aussi lorsque Pierrot sourit C’est là-haut vers les amants du paradis…  Sur le boulevard du Crime Pour voir la pantomime Ce soir on se bouscule Au théâtre des Funambules Les amours de Pierrot Ça fait pleurer Margot Et rire dans la tourmente Le Paris de mille huit cent trente Masques sont vert damasques Pour des danses fantasques Et la foule coasse Au milieu du carnaval des grimaces  Mais tous ces gens qui rient de Pierrot Il n’y a que lui, pleure pour de vrai Puisque la femme qu’il aimait Est partie ce soir sans un mot Aussi lorsque Pierrot sourit Tout là-haut pleurent les amants du paradis…  Sur le boulevard du Crime Pour voir la pantomime Ce soir on se bouscule Au théâtre des Funambules Les malheurs de Pierrot Sous les cris, les bravos Font rire dans la tourmente Le Paris de mille huit cent trente Quel talent fantastique Qu’il est drôle et comique Ça, c’est un vrai Pierrot Allez! Vas-y! Refais ton numéro…  Tout là-haut pleurent les amants du paradis.",Edith Piaf
9,Bravo Pour Le Clown,/edith-piaf/bravo-pour-le-clown.html,Die Grossen Erfolge: Die Grossen Chansons,"Un clown est mon ami Un clown bien ridicule Et dont le nom s’écrit En gifles majuscules Pas beau pour un empire Plus triste qu’un chapeau Il boit d’énormes rires Et mange des bravos  Pour ton nez qui s’allume Bravo! Bravo! Tes cheveux que l’on plume Bravo! Bravo! Tu croques des assiettes Assis sur un jet d’eau Tu ronges des paillettes Tordu dans un tonneau Pour ton nez qui s’allume Bravo! Bravo! Tes cheveux que l’on plume Bravo! Bravo!  La foule aux grandes mains S’accroche à ses oreilles Lui vole ses chagrins Et vide ses bouteilles Son coeur qui se dévisse Ne peut les attrister C’est là qu’ils applaudissent La vie qu’il a ratée!  Pour ta femme infidèle Bravo! Bravo! Et tu fais la vaisselle Bravo! Bravo! Ta vie est un reproche Qui claque dans ton dos Ton fils te fait les poches Et toi, tu fais l’idiot Pour ta femme infidèle Bravo! Bravo! Et tu fais la vaisselle Bravo! Bravo!  Le cirque est déserté Le rire est inutile Mon clown est enfermé Dans un certain asile Succès de camisole Bravos de cabanon Des mains devenues folles Lui battent leur chanson  Je suis roi et je règne Bravo! Bravo! J’ai des rires qui saignent Bravo! Bravo! Venez, que l’on m’acclame J’ai fait mon numéro Tout en jetant ma femme Du haut du chapiteau Bravo! Bravo! Bravo! Bravo!",Edith Piaf
