,Nome da Música,link,album,letra,artista
0,18 Quilates,/joelma-calypso/18-quilates.html,Coletânea Joelma 25 Anos,"Não quero muita coisa Nem espero muito de você Uma hora por semana Parece pouco, mas é muito pra quem ama  Eu não vou te algemar Pelo dedo anelar Se bem que ficaria lindo 18 quilates na sua mão esquerda Só por hoje, se for não pedir muito  De você Eu só quero uma rodada de belos sorrisos Uma porção extra de muito carinho Uma dose de desejo Para me acompanhar  Se quiser ir pra quatro paredes Pode incluir no pedido A gente mistura suor com gemido E claro, tudo isso se você aceitar 18 quilates na sua mão esquerda Em cima do altar.",Joelma
1,A Chave Perdida,/joelma-calypso/a-chave-perdida.html,Coletânea Joelma 25 Anos,"Já faz tanto tempo que você se foi Mas ainda sinto tua falta aqui Porque não consigo te esquecer Oh, baby  Você ficou preso no meu coração Feito tatuagem, uma desilusão A me machucar e me fazer sofrer Por isso preciso, amor, te esquecer Eu preciso te esquecer  Encontrar alguém que ocupe o seu lugar Que me faça te esquecer e superar Essa dor que queima no meu coração  Preciso encontrar a saída A chave perdida Fugir dessa solidão A vida é muito bonita Viver sem saída Não vale a pena, não Não vale a pena",Joelma
2,A Lua Me Traiu,/joelma-calypso/a-lua-me-traiu.html,Coletânea Joelma 25 Anos,Parece até conto de fadas Mas assim aconteceu Éramos dois apaixonados Julieta e Romeu  Naquela noite encantada Pedi pra lua dos amantes Que iluminasse essa hora Pra esse amor eternizar  Mas num passe de mágica Você desapareceu Um eclipse maldito O encanto se perdeu E o meu coração partido Foi sofrendo e foi sofrendo Tentando te encontrar Na madrugada Fria madrugada!  A lua me traiu! Acreditei que era pra valer A lua me traiu! Fiquei sozinha E louca por você  Ah Ah! Ah Ah! Não consigo te esquecer Ah Ah! Ah Ah! Apaixonada por você  Naquela noite encantada Pedi pra lua dos amantes Que iluminasse essa hora Pra esse amor eternizar  Mas num passe de mágica Você desapareceu Um eclipse maldito O encanto se perdeu E o meu coração partido Foi sofrendo e foi sofrendo Tentando te encontrar Na madrugada Fria madrugada!  A lua me traiu! Acreditei que era pra valer A lua me traiu! Fiquei sozinha E louca por você  Ah Ah! Ah Ah! Não consigo te esquecer Ah Ah! Ah Ah! Apaixonada por você,Joelma
3,A Página Virou,/joelma-calypso/a-pagina-virou.html,Joelma,"Bola pra frente que a página virou, virou, virou Se você para seu mundo para de girar, girar, girar Vê se me conta outra história que essa passou Passou, passou E o sentido da vida é continuar  Pra frente é que se anda Pra frente se deve andar Pra frente, sempre pra frente Que a vida da gente não pode parar  Vira, vira, a página virou Deixa no museu do tempo O que passou passou, passou passou Vira, vira, a página virou Vem cá balançar com meu som que a festa começou  Pra frente é que se anda Pra frente se deve andar Pra frente, sempre pra frente Que a vida da gente não pode parar",Joelma
4,Agradeço Esse Amor,/joelma-calypso/agradeco-esse-amor.html,Agradeço Esse Amor!,"Agradeço esse amor Esse carinho, essa paixão Do fundo do coração Eu vou me declarar  Eu também amo vocês E o nosso amor é pra valer Ninguém precisa entender O que não tem como explicar  Quando estou aqui no palco Sempre dou tudo de mim E essa troca de energia é legal demais  Eu perto de vocês, vocês perto de mim É mais do que prazer Não há dinheiro que pague Nem nada que apague Um sorriso de um fã  Vamos galera sacudir A gente faz a festa e vocês que dão um show Nosso fã-clube grita ai Hey hey Ninguém segura essa troca de amor  Meus amores muito obrigada, por todo o carinho Vocês são o presente que papai do céu deu pra banda calypso  Calypsoo",Joelma
5,Ai Baby,/joelma-calypso/ai-baby.html,Coletânea Joelma 25 Anos,"Tá vendo esse rostinho delicado É dono de um coração de fera Graças ao dedo podre do passado Hoje esse dedinho, pra escolher, não erra  E se você tá comigo Não se atreva em me fazer chorar Eu não vou poupar castigo Eu tenho muito amor pra dar Minha vida, meu quarto Minha cama vai ser seu lugar  Ai, baby Ai, baby Me ama, que eu te dou amor   É só você chegar Com carinho direitinho Tratando essa fera com jeitinho Me ganhou   Ai, baby Ai, baby Me ama, que eu te dou amor   Amor, amor",Joelma
6,Ai Coração,/joelma-calypso/ai-coracao.html,Joelma,"Ai coração, me dá vontade de chorar Ah, solidão  Aonde anda você? Porque não liga pra saber se eu estou bem? Não tô legal, eu preciso amor te ver Amor tô mal, precisando de você  Quando vejo a noite chegar Sinto o teu cheiro pelo ar Mas eu não posso tocar em você  Tento enganar meu coração Tento me livrar dessa paixão Eu não consigo te esquecer...  Ai coração, me dá vontade de chorar Ah, solidão Porque eu não posso suportar Ai coração, me dá vontade de chorar Ah, solidão",Joelma
7,Amor Bandoleiro,/joelma-calypso/amor-bandoleiro.html,Agradeço Esse Amor!,"Diz que vem, mas não vem E me deixa aqui só de bobeira Eu te dou meu amor, mas você leva na brincadeira Que que há? Diz pra mim Será que já tem outra pessoa É melhor me dizer Abra seu coração numa boa  Não sei aonde é que você quer chegar Seu amor é bandoleiro e vai me machucar Faço tudo pra te dar o meu amor Mas você só faz pirraça pra me provocar  Tá, tá, tá, tá querendo brigar Quer, quer, quer, quer me provocar Tá, tá, tá, tá querendo brigar Quer, quer, quer me fazer chorar  Calypso!  Diz que vem, mas não vem E me deixa aqui só de bobeira Eu te dou meu amor, mas você leva na brincadeira Que que há? Diz pra mim Será que já tem outra pessoa É melhor me dizer Abra seu coração numa boa  Não sei aonde é que você quer chegar Seu amor é bandoleiro e vai me machucar Faço tudo pra te dar o meu amor Mas você só faz pirraça pra me provocar  Tá, tá, tá, tá querendo brigar Quer, quer, quer, quer me provocar Tá, tá, tá, tá querendo brigar Quer, quer, quer me fazer chorar  Tá, tá, tá, tá querendo brigar Quer, quer, quer, quer me provocar Tá, tá, tá, tá querendo brigar Quer, quer, quer me fazer chorar",Joelma
8,Amor Com Amor Se Paga,/joelma-calypso/amor-com-amor-se-paga.html,Agradeço Esse Amor!,"Amor com amor se paga Agora colha o que você plantou Esperei seu amor e nada E só eu sei o quanto machucou  Eu ficava carente e você nem ai pra mim Como eu queria te amar Agora é dente por dente Foi você quem quis assim Não tem solução, meu coração não quer te perdoar  Agora chora, chora Tanto que eu chorei e você nem ligou Sofre, sofre Assim você aprende a não brincar com o amor  Chora, chora Tanto que eu chorei e você nem ligou Sofre, sofre Assim você aprende a não brincar com o amor  Não dá, não dá, não dá, não dá Acreditar no seu amor meu bem não dá Não dá, não dá, não dá, não dá Acreditar no seu amor meu bem não dá",Joelma
9,Amor de Fã,/joelma-calypso/amor-de-fa.html,Joelma Calypso - Vol 01,"Um mês Para ver o meu amor está marcado Eu escutei no rádio E não para de anunciar Eu sei Que fico ansiosa, fico estressada Mas tudo isso é nada, pois vou te encontrar  Já separei a melhor roupa Já separei o melhor perfume Já fiz aquela faixa como de costume Eu vou correr, eu vou gritar, eu vou sorrir, eu vou chorar Eu vou fazer de tudo pra te abraçar  Posso cruzar os oceanos Pego um foguete vou à lua Pra te encontrar eu faço tudo Eu só chego de manhã Amor sem medida É amor de fã",Joelma
