,Nome da Música,link,album,letra,artista
0,007 On You,/lady-gaga/007-on-you.html,Regravação de Esmée Denters,"I've g-g-got to turn on ya From the minute I saw That style and your swagger You're so predictable  Trust me, I already know Inside you're just a man, oh I don't need no more You're so predictable  Got on my white glove and my criminal kit You'll be surprise, how I got you down Even got your fingerprints  Trust me I already know Inside you're just a man, oh Known about you for a while Baby 'cause I've got your file  Predictable Predictable 'Cause you know I've got the five on you  Predictable, Predictable, I'm a double-0 7 on you Predictable, Predictable 'Cause you know I've got the five on you  Predictable, Predictable, I'm double-0 7 on you  Put you on lockdown Gonna be quarantine I've got a few questions And they need some answering You don't even wanna know What I got on you cause whoa Baby, you're just a man, oh I don't mess with your men  Heard about your girl Back at home from your friends You'll be surprise how I got you down Even though you still pretend  Trust me I already know Inside you're just a man, oh Known about you for a while Baby 'cause I've got your file  Predictable Predictable 'Cause you know I've got the five on you  Predictable, Predictable, I'm a double-0 7 on you  Predictable Predictable 'Cause you know I've got the five on you  Predictable, Predictable, I'm double-0 7 on you  Other girls just keep on guessing No, I'm a double-O 7 Gimme that, Gimme that (Don't) Don't give me that, no (Don't)  Other girls just keep on guessing No, I'm a double-O 7 Gimme that, Gimme that (Don't) Don't give me that, no (Don't)  Predictable Predictable 'Cause you know I've got the five on you  Predictable, Predictable, I'm a double-0 7 on you  Predictable Predictable 'Cause you know I've got the five on you  Predictable, Predictable, I'm a double-0 7 on you  Predictable Predictable 'Cause you know I've got the five on you  Predictable, Predictable, I'm a double-0 7 on you  Gimme that, Gimme that (don't) Predictable Gimme that, Gimme that (don't) Ooh- oh Double-0 7 on you  Gimme that, (Ooh) Gimme that (don't) Double-0 7 on you Gimme that,  Gimme that (don't) Oooh Predictable Double-0 7 seven on you",Lady Gaga
1,1000 Doves,/lady-gaga/1000-doves.html,Chromatica,"I need you to listen to me, please believe me I'm completely lonely, please don't judge me When your tears are falling, I'll catch them as they fall I need you to listen to me, please don't leave me I'm not perfect yet, but I'll keep trying When your tears are falling, I'll catch them as they fall  'Cause inside, we are really made the same (Oh) In life, waiting's just a stupid game (Oh)  Lift me up, give me a start 'Cause I've been flying with some broken arms Lift me up, just a small nudge And I'll be flying like a thousand doves  A thousand do-o-o-o-o-oves Oh (Doves) A thousand do-o-o-o-o-oves Oh (Doves)  I'd do anything for you to really see me I am human, invisibly bleeding When your smile is shaking, I'll catch you as you fall  I cry more than I ever say (Oh) Each time, your love seems to save the day (Oh)  Lift me up, give me a start 'Cause I've been flying with some broken arms Lift me up, just a small nudge And I'll be flying like a thousand doves  A thousand do-o-o-o-o-oves Oh (Doves) A thousand do-o-o-o-o-oves Oh (Doves)  I've been hurting, stuck inside a cage So hard my heart's been in a rage If you love me, then just set me free And if you don't, then baby, leave Set me free  Lift me up, give me a start 'Cause I've been flying with some broken arms Lift me up, just a small nudge And I'll be flying like a thousand doves  A thousand do-o-o-o-o-oves (Flying, flying) Oh (Flying like a thousand doves) A thousand do-o-o-o-o-oves (Flying, flying) Oh (Flying like a thousand doves) Flying, flying, flying like a thousand doves Flying, flying, flying (Doves)",Lady Gaga
2,1000 Doves (Piano Demo),/lady-gaga/1000-doves-piano-demo.html,,"I need you to listen to me, please believe me I'm completely lonely, please don't judge me When your tears are falling, I'll catch them as they fall I need you to listen to me, please don't leave me I'm not perfect yet, but I'll keep trying When your tears are falling, I'll catch them as they fall  'Cause inside, we are really made the same In life, waiting's just a stupid game  Lift me up, give me a start 'Cause I've been flying with some broken arms Lift me up, just a small nudge And I'll be flying like a thousand doves  Flying like a thousand, flying like two thousand Flying like ten thousand doves Flying like a thousand, flying like two thousand Flying like ten thousand doves  I'd do anything if you just believed me I am human, invisibly bleeding When your smile is shaking, I'll catch you as you fall If I had a painter's mind, then I would paint it Or a sculptor's hands, then I would shape it But instead, I guess I'll sing it in this song  I cry more than I ever say Each time, your love seems to save the day  Lift me up, give me a start 'Cause I've been flying with some broken arms Lift me up, just a small nudge And I'll be flying like a thousand doves  Flying like a thousand, flying like two thousand Flying like ten thousand doves Flying like a thousand, flying like two thousand Flying like ten thousand doves",Lady Gaga
3,3-way (the Golden Rule),/lady-gaga/3-way-the-golden-rule.html,Regravação de The Lonely Island,"Your mom says, ""hi"" - jinx!  Yeah yeah yeah yeah yeah Yeah yeah yeah yeah yeah Yeah yeah yeah yeah yeah Yeah yeah yeah yeah yeah Yeah yeah yeah yeah yeah Yeah yeah yeah no no Yeah yeah yeah, yeah yeah yeah Yeah yeah yeah yeah yeah  Summertime in the city And everybody's having sex You know I just got a page from a girl That I met last week at the Payless Shoe stores  I also have a cutie to call Who likes the way I knock on her boots Well let's help them back Let's handle that In two-to-six hours We'll meet back here and regroup Now let's shoop  Roll up to her crib with some Bartles &amp; Jaymes Hop off the bus with the Alizé Now hold up player, whatchu diggity-doing here? I should diggity-ask you the same And she sang  ""Hey, boys I want you both I hope that you think that's cool (say word?) I know most guys will freak together She forgot about the golden rule - a huh huh""  It's ok when it's in a three-way It's not gay when it's in a three-way With a honey in the middle there's some leeway The area's grey in a one, two, three-way  Normally, I don't get down with dudes But tonight is a special exception (great) See you're my best friend Through thick and thin Now it's time to make a triple connection Lights off  Here in the dark (here in the dark) It's so hard to tell (so hard to tell) Where her body ends (la la) And my homie's begins (ew wee) This rule dates back (the golden rule) To ancient Greece (takin' about Cesar) We're two jack trippers and a Chrissy The new three's company  It's ok when it's in a three-way It's not gay when it's in a three-way With a honey in the middle there's some leeway The area's grey in a one, two three-way  Fellas Get ready To impress a chick Helicopter d*ck, go! Hellicopter d*ck Helicopter d*ck To impress a chick Helicopter d*ck  And all of that was ok 'cuz it was in a three-way It's quite clear when you see the instant replay Maybe two is enough That's what they'll say But we'll say, ""hell no"" It's a one, two, three-way Yeah yeah yeah yeah yeah",Lady Gaga
4,911,/lady-gaga/911.html,Chromatica,"Turnin' up emotional faders Keep repeating self-hating phrases I have heard enough of these voices Almost like I have no choice This is biological stasis My mood's shifting to manic places Wish I laughed and kept the good friendships Watch life, here I go again  I can't see me cry Can't see me cry ever again (Ooh) I can't see me cry Can't see me cry, this is the end (Ooh)  My biggest enemy is me, pop a 911 My biggest enemy is me, pop a 911 My biggest enemy is me ever since day one Pop a 911, then pop another one  Keep my dolls inside diamond boxes Save 'em 'til I know I'm gonna drop this front I've built around me, oasis Paradise is in my hands Holdin' on so tight to this status It's not real, but I'll try to grab it Keep myself in beautiful places Paradise is in my hands  I can't see me cry Can't see me cry ever again (Ooh) I can't see me cry Can't see me cry, this is the end (Ooh)  My biggest enemy is me, pop a 911 My biggest enemy is me, pop a 911 My biggest enemy is me ever since day one Pop a 911, then pop another one  Pop, pop another one (Ooh) Pop a 911, then pop another one (Ooh)  I can't see me cry Can't see me cry ever again (Ooh) I can't see me cry Can't see me cry, this is the end (Ooh)  My biggest enemy is me, pop a 911 My biggest enemy is me, pop a 911 My biggest enemy is me ever since day one Pop a 911, then pop another one  Please patch the line, please patch the line Need a 911, can you patch the line? Please patch the line, please patch the line Need a 911, can you patch the line?",Lady Gaga
5,A-YO,/lady-gaga/a-yo.html,Joanne,"Here we go!  I can't wait to smoke them all Whole pack like Marlboro Blow it in your face, blow it in your face Blow it in your, blow it in your face I can't wait to rev you up Faster than you can say ""Ferrari"" Tearin' up the gravel, watch you unravel Now it's a party Hey, I can't wait to cast my spell Which one, you'll never tell 'Cause I got it covered, city gravy southern Got you drippin' like no other  Get off on me, my body's got you pleadin' Light me up and breathe in Mirror on the ceilin' Off on me, my body's got you pleadin' Light me up and breathe in Mirror on the ceiling A-YO, A-YO We smokin' 'em all A-YO, A-YO We smokin' 'em all A-YO, A-YO We smokin' 'em all A-YO, A-YO  I can't wait to blaze for real Track burns like a road rail Spin it in your face, spin it in your face Play it in your, play it in your face Can't wait to get you shook up Faster than you can try to hate it You can try to hate it, you can try to fake it But baby, I laced it  Get off on me, my body's got you pleadin' Light me up and breathe in Mirror on the ceilin' Off on me, my body's got you pleadin' Light me up and breathe in Mirror on the ceiling A-YO, A-YO Mirror on the ceiling (We smokin' 'em all) A-YO, A-YO Mirror on the ceiling (We smokin' 'em all) A-YO, A-YO Mirror on the ceiling (We smokin' on 'em all) A-YO, A-YO AA-YO  A-YO, A-YO We smokin' 'em all A-YO A-YO We smokin' 'em all  Get it da get it da get it get it Get off on me, my body's got you pleadin' Light me up and breathe in Mirror on the ceilin' Off on me, my body's got you pleadin' Light me up and breathe in Mirror on the ceiling A-YO, A-YO Mirror on the ceiling (We smokin' 'em all) A-YO, A-YO Mirror on the ceiling (We smokin' 'em all) A-YO, A-YO Mirror on the ceiling (We smokin' 'em all) A-YO, A-YO Mirror on the ceiling  A-YO, A-YO We smokin' 'em all A-YO, A-YO A-YO A-YO A-YO, A-YO We smokin' 'em all A-YO, A-YO Hey YO",Lady Gaga
6,Again Again,/lady-gaga/again-again.html,,"You've gotta a lotta lotta nerve Coming here when I'm still with him And I can't have you, it isn't fair Born March of '86, my birthday's coming And if I had one wish Yeah, you'd be it  When you're 'round I lose myself inside your mouth You've got brown eyes Like no one else Baby make it to me  Again and again Again, again, again, again Never stop again and again Again, again, a-a-again, again Never stop, oh  He never really saw me Or waited when we were hooking up Yeah he'd a never last Last week when I was sad You said that you knew My eyes change from kinda green To kinda blue heya  When you're 'round I lose myself inside your mouth You've got brown eyes Like no one else Baby make it to me  Again and again Again, again, again, again Never stop again and again Again, again, a-a-again, again Never stop  They tell me if I leave him Baby would you be there 'Cause maybe you could Be m-m-mine all the t-t-time",Lady Gaga
7,Alejandro,/lady-gaga/alejandro.html,Born This Way: The Collection,"I know that we are young And I know that you may love me But I just can't be with you like this anymore Alejandro  (Uh uh uh oh oh oh uh oh oh) (Uh uh uh oh oh oh uh oh oh)  She's got both hands In her pocket And she won't look at you Won't look at you She hides true love En su bolsillo She's got a halo around her finger Around you  You know that I love you boy Hot like Mexico, rejoice At this point I gotta choose Nothing to lose  Don't call my name Don't call my name, Alejandro I'm not your babe I'm not your babe, Fernando  Don't wanna kiss, don't wanna touch Just smoke my cigarette and hush Don't call my name Don't call my name, Roberto Alejandro Alejandro Ale-ale-jandro Ale-ale-jandro Alejandro Alejandro Ale-ale-jandro Ale-ale-jandro  (Just stop. Please. Just let me go. Alejandro Just let me go)  She's not broken She's just a baby But her boyfriend's like a dad, just like a dad Draw those flames that burn before him Now he's gonna find a fight, gonna fool the bad  You know that I love you boy Hot like Mexico, rejoice At this point I gotta choose nothing to lose  Don't call my name Don't call my name, Alejandro I'm not your babe I'm not your babe, Fernando  Don't wanna kiss, don't wanna touch Just smoke my cigarette and hush Don't call my name Don't call my name, Roberto  Alejandro Alejandro Ale-ale-jandro Ale-ale-jandro Alejandro Alejandro Ale-ale-jandro Ale-ale-jandro",Lady Gaga
8,Alice,/lady-gaga/alice.html,Chromatica,"My name isn't Alice But I'll keep looking I'll keep looking for wonderland My name isn't Alice But I'll keep looking I'll keep looking for wonderland, wonderland Set me free Set me free  Could you pull me out of this alive? Where's my body? I'm stuck in my mind  Oh-ma-ma-ma, oh-ma-ma-ma I'm tired of screaming Oh-ma-ma-ma, oh-ma-ma-ma At the top of my lungs Oh-ma-ma-ma, oh-ma-ma-ma I'm in the hole, I'm falling down, down So down, down, down  My name isn't Alice But I'll keep looking I'll keep looking for wonderland My name isn't Alice But I'll keep looking I'll keep looking for wonderland, wonderland  Take me home Take me to wonderland Take me home Take me to wonderland, wonderland  Sick and tired of waking up Screaming at the top of my lungs Thinking I might just've left myself behind Maestro play me your symphony I will listen to anything Take me on a trip, DJ free my mind  My name isn't Alice But I'll keep looking I'll keep looking for wonderland My name isn't Alice But I'll keep looking I'll keep looking for wonderland, wonderland  Take me home Take me to wonderland, wonderland Take me home Take me to wonderland, wonderland Take me home Take me to wonderland, wonderland Take me home Take me to wonderland, wonderland  Ah, ah, ah, ah Ah, ah, ah, ah Set me free Ah, ah, ah, ah Ah, ah, ah, ah Set me free",Lady Gaga
9,Always Remember Us This Way,/lady-gaga/always-remember-us-this-way.html,,That Arizona sky Burnin' in your eyes You look at me and babe I wanna catch on fire It's buried in my soul Like California gold You found the light in me that I couldn't find  So when I'm all choked up and I can't find the words Every time we say goodbye baby it hurts When the sun goes down And the band won't play I'll always remember us this way  Lovers in the night Poets tryin' to write We don't know how to rhyme but damn we try But all I really know You're where I wanna go The part of me that's you will never die  So when I'm all choked up and I can't find the words Every time we say goodbye baby it hurts When the sun goes down And the band won't play I'll always remember us this way  Oh yeah I don't wanna be just a memory baby yeah  Oo oo oo oo oo oo oo Oo oo oo oo hoo hoo hoo Oo oo oo oo hoo hoo hoo  So when I'm all choked up and I can't find the words Every time we say goodbye baby it hurts When the sun goes down and the band won't play I'll always remember us this way Way yeah  When you look at me and the whole world fades I'll always remember us this way  Oouu hmm OOuu hmm,Lady Gaga
