,Nome da Música,link,album,letra,artista
0,4 Minutes (Bob Sinclar Space Funk Remix),/madonna/4-minutes-bob-sinclar-space-funk-remix.html,,"(Timbaland:) I'm outta time and all I got is 4 minutes (4x)  Come on Yeah Break down Come on  (Madonna:) Come on boy I've been waiting for somebody To pick up my stroll  (Justin:) Well don't waste time Give me a sign Tell me how you wanna roll  (Madonna:) I want somebody to speed it up for me Then take it down slow There's enough room for both  (Justin:) Well, I can handle that You just gotta show me where it's at Are you ready to go (Are you ready to go)  (Madonna e Justin:) If you want it You already got it If you thought it It better be what you want If you feel it It must be real just Say the word and imma give you what you want  (Madonna e Justin:) Time is waiting We only got 4 minutes to save the world No hesitating Grab a boy Grab a girl Time is waiting We only got 4 minutes to save the world No hesitating We only got 4 minutes, 4 minutes  (Madonna e Justin:) Keep it up, keep it up, don't be a pri, hey Madonna, uh You gotta get in line, hop Tick tock tick tock tick tock That's right, keep it up, keep it up, don't be a pri, hey Madonna, uh You gotta get in line, hop Tick tock tick tock tick tock  (Madonna:) Sometimes I think what I need is a you intervention, yeah  (Justin:) And you know I can tell that you like it And that it's good, by the way that you move, ooh, hey  (Madonna:) The road to hell is paved with good intentions, yeah  (Justin:) But if I die tonight At least I can say I did what I wanted to do Tell me, how bout you?  (Madonna e Justin:) If you want it You already got it If you thought it It better be what you want If you feel it It must be real just Say the word and imma give you what you want  (Madonna e Justin:) Time is waiting We only got 4 minutes to save the world No hesitating Grab a boy Grab a girl Time is waiting We only got 4 minutes to save the world No hesitating We only got 4 minutes, 4 minutes  (Timbaland:) I'm outta time and all I got is 4 minutes (4x)  (Madonna e Justin:) Keep it up, keep it up, don't be a pri, hey Madonna, uh You gotta get in line, hop Tick tock tick tock tick tock That's right, keep it up, keep it up, don't be a pri, hey Madonna, uh You gotta get in line, hop Tick tock tick tock tick tock  (Timbaland:) Breakdown Huh Yeah I only got 4 minutes Yeah, uh huh (tick tock tick tock tick tock) I only got 4 minutes to save the world",Madonna
1,"4 Minutes (feat. Justin Timberlake, Timbaland)",/madonna/4-minutes.html,Sticky and Sweet: Live,"(Timbaland:) I'm outta time and all I got is 4 minutes (8x) Come on Yeah Break down Come on  (Madonna:) Come on boy I've been waiting for somebody To pick up my stroll  (Justin:) Well don't waste time Give me a sign Tell me how you wanna roll  (Madonna:) I want somebody to speed it up for me Then take it down slow There's enough room for both  (Justin:) Well, I can handle that You just gotta show me where it's at Are you ready to go (Are you ready to go)  (Madonna e Justin:) If you want it You already got it If you thought it It better be what you want If you feel it It must be real just Say the word and Imma give you what you want  (Madonna e Justin:) Time is waiting We only got 4 minutes to save the world No hesitating Grab a boy Grab a girl Time is waiting We only got 4 minutes to save the world No hesitating We only got 4 minutes, 4 minutes  (Madonna e Justin:) Keep it up, keep it up, don't be a pri, hey Madonna, uh You gotta get in line, hop Tick tock tick tock tick tock That's right, keep it up, keep it up, Don't be a pri, Hey Madonna, uh You gotta get in line, hop Tick tock tick tock tick tock  (Madonna:) Sometimes I think what I need is a you intervention, Yeah  (Justin:) And you know I can tell that you like it And that it's good, by the way that you move, ooh, Hey  (Madonna:) The road to hell is paved With good intentions, yeah  (Justin:) But if I die tonight At least I can say I did what I wanted to do Tell me, how bout you?  (Madonna e Justin:) If you want it You already got it If you thought it It better be what you want If you feel it It must be real just Say the word and Imma give you what you want  (Madonna e Justin:) Time is waiting We only got 4 minutes to save the world No hesitating Grab a boy Grab a girl Time is waiting We only got 4 minutes to save the world No hesitating We only got 4 minutes, 4 minutes  (Madonna e Justin:) Keep it up, keep it up, don't be a pri, hey Madonna, uh You gotta get in line, hop Tick tock tick tock tick tock That's right, keep it up, keep it up, don't be a pri, Hey Madonna, uh You gotta get in line, hop Tick tock tick tock tick tock  (Timbaland:) Breakdown Yeah (tick tock tick tock tick tock) Yeah, uh huh (tick tock tick tock tick tock) I only got 4 minutes to save the world",Madonna
2,4 Minutes (Traducción),/madonna/4-minutes-traduccion.html,,"Me apura tiempo y todo lo que tiene es de 4 minutos (repite varias veces) Desglose  Vamos muchacho He estado esperando a alguien Para recoger a mi paseo  Así no perderé el tiempo Dame una señal Dígame cómo quiere rollo  Quiero alguien para acelerarlo para mí Luego tome abajo lento Hay suficiente espacio para ambos  Bueno, yo que puede manejarlo Usted sólo apurame el show donde se a ¿Estás listo para ir (¿Estás listo para ir)  Si desea que Usted ya lo hice Si usted piensa que Es mejor ser lo que quieres Si usted siente que Debe ser real sólo Diga la palabra y Imma darle lo que quiere  El tiempo de espera Sólo tiene 4 minutos para salvar al mundo No dudan Agarra un niño Agarra una niña El tiempo de espera Sólo tiene 4 minutos para salvar al mundo No dudan Sólo obtuvo 4 minutos, 4 minutos  Mantener hasta que… .. Madonna Usted apresure a ponerse en línea, hop Tick Tack tick tack tick tack Así es, la mantenga hasta Mantenga su gusto, no…. Madonna, uh Usted gotta ponerse en línea, hop Tick Tack tick tack tick tack  A veces creo que lo que necesitamos es una intervención humana, sí  Y ustedes saben que puedo decir que le gusta Y eso es bueno, por la forma en que te mueves, ooh, hey hey  El camino al infierno está empedrado de buenas intenciones, sí  Pero si muero esta noche Al menos puedo decir que hice lo que quería hacer Dígame, ¿cómo combate usted?  Si desea que Usted ya lo hice Si usted piensa que Es mejor ser lo que quieres Si usted siente que Debe ser real sólo Diga la palabra y Imma darle lo que quiere  El tiempo de espera Sólo tiene 4 minutos para salvar al mundo No dudan Agarra un niño Agarra una niña El tiempo de espera Sólo tiene 4 minutos para salvar al mundo No dudan Sólo obtuvo 4 minutos, 4 minutos  Mantener hasta que… .. Madonna Usted gotta ponerse en línea, hop Tick Tack tick tack tick tack Así es, la mantenga hasta Mantenga su gusto, no…. Madonna, uh Usted gotta ponerse en línea, hop Tick Tack tick tack tick tack  (Timbaland:) Desglose  Creditos; André soi.tu.rain",Madonna
3,"A Cinema In Buenos Aires, 26 July 1952",/madonna/a-cinema-in-buenos-aires-26-july-1952.html,Evita (Soundtrack),"(An audience is watching a less than distinguished movie. [In both the original London and New York productions of EVITA, a clip from one of Eva Peron's own movies was used]. The soundtrack dialogue is in Spanish, the music melodramatic.)  (Julieta:) Carlos.  (Carlos:) Julieta, mi querida Julieta.  (Julieta:) Carlos, no tendréŸ†s que haber venido.  (Carlos:) Julieta, ni un millar de soldados me puede detener.  (Julieta:) Pero es peligroso, mi padre te arrestarâŒ¦ãˆ²ã¬³.  (Carlos:) TenéŸ† que venir.  (Julieta:) î“‰arlos!  (Carlos:) Hasta este momento, mis labios no han osado murmurar la palabra amor.  (Julieta:) Carlos.  (Carlos:) Y mucho mé†© que eso, mi ser todo vibra de deseo. ç¸ŒuâŒ¦ã„²ã¬¸ fue eso? Algo se moviâŒ¦ã¤±ã¬° en el balcé«‡ de tu padre. Si fuera ese truhé†¤ de Rodolfo, juro que mi espada no permanecerâŒ¦ãˆ²ã¬³ en su vaina.  (Julieta:) î“‰arlos, ten cuidado! Te quiero, Carlos, te quiero.  (Suddenly the film grinds to a halt. The people in the cinema begin to protest but are silenced by an announcement.)  (The Voice of the Secretary of the Press:) It is my sad duty to inform you that Eva Peron, spiritual leader ",Madonna
4,A New Argentina,/madonna/a-new-argentina.html,Evita (Soundtrack),"(Peron:) Dice are rolling, the knives are out Would-be presidents are all around I don't say they mean harm But they'd each give an arm To see us six feet underground  (Eva:) It doesn't matter what those morons say Our nation's leaders are a feeble crew There's only twenty of them anyway What is twenty next to millions who Are looking to you?  All you have to do is sit and wait Keeping out of everybody's way We'll ... you'll be handed power on a plate When the ones who matter have their say And with chaos installed You can reluctantly agree to be called  (Peron:) There again we could be foolish not to quit while we're ahead For distance lends enchantment, and that is why All exiles are distinguished, more important, they're not dead I could find job satisfaction in Paraguay  (Eva:) This is crazy defeatist talk Why commit political suicide, there's no risk There's no call for any action at all When you have unions on your side  (Workers:) A new Argentina, the chains of the masses untied A new Argentina, the voice of the people Cannot be denied  (Eva:) There is only one man who can lead any workers' regime He lives for your problems, he shares your ideals and your dream He supports you, for he loves you Understands you, is one of you If not, how could he love me?  (Workers:) A new Argentina, the workers' battle song A new Argentina, the voice of the people Rings out loud and long  (Eva:) Now I am a worker, I've suffered the way that you do I've been unemployed, and I've starved and I've hated it too But I found my salvation in Peron, may the nation Let him save them as he saved me  (All:) A new Argentina, a new age about to begin A new Argentina, we face the world together And no dissent within  (Peron:) There again we could be foolish not to quit while we're ahead I can see us many miles away, inactive Sipping cocktails on a terrace, taking breakfast in bed Sleeping easy, doing nothing, it's attractive  (Eva:) Don't think I don't think like you I often get those nightmares too They always take some swallowing Sometimes it's very difficult to keep momentum If it's you that you are following Don't close doors, keep an escape clause Because we might lose the Big Apple  But would I have done what I did If I hadn't thought, if I hadn't known We would take the country  (Eva:) Peron has resigned from the army and this we avow The descamisados are those he is marching with now He supports you, for he loves you Understands you, is one of you If not, how could he love me?  (All:) A new Argentina, the chains of the masses untied A new Argentina, the voice of the people Cannot be, and must not be denied  (Che:) How annoying that they have to fight elections for their cause The inconvenience, having to get a majority If normal methods of persuasion fail to win them applause There are other ways of establishing authority  (All:) A new Argentina, the chains of the masses untied A new Argentina, the voice of the people ",Madonna
5,Across The Sky (feat. Justin Timberlake),/madonna/across-the-sky.html,,"I'm no stranger to deception I've lied, I've been lied to I'm no paragon of virtue But I wanna be with you I've never been a righteous soul And I don't pretend I am But I walk the line when I'm with you 'Cause you make me believe I can  But we're running out of options And we're running out of time And I don't know if it's you or me But it's time to speak your mind  Because I'm travelling across the sky When you're with me, your hand in mine Our honesty will make us fly And we'll be travelling across the sky  Across the sky, oh-oh-oh-oh-oh oh-oh-oh Across the sky, oh-oh-oh-oh-oh oh-oh-oh Across the sky, oh-oh-oh-oh-oh oh-oh-oh Across the sky, oh-oh-oh-oh-oh oh-oh-oh  I'm not good at keeping quiet And I can't keep this tied down 'Bout time to count for something Yet we're still hanging around If you need an explanation for What's false and what is true It'll never stop the world and think That I could not be with you  But we're running out of options And we're running out of time And I don't know if it's you or me But it's time to speak your mind  Because I'm travelling across the sky When you're with me, your hand in mine Our honesty will make us fly And we'll be travelling across the sky  Across the sky, oh-oh-oh-oh-oh oh-oh-oh Across the sky, oh-oh-oh-oh-oh oh-oh-oh Across the sky, oh-oh-oh-oh-oh oh-oh-oh Across the sky, oh-oh-oh-oh-oh oh-oh-oh  Across the sky, oh-oh-oh-oh-oh oh-oh-oh (Travelling across the sky) Across the sky, oh-oh-oh-oh-oh oh-oh-oh (Travelling across the sky) Across the sky, oh-oh-oh-oh-oh oh-oh-oh (Travelling across the sky) Across the sky, oh-oh-oh-oh-oh oh-oh-oh (Travelling across the sky)",Madonna
6,Act Of Contrition,/madonna/act-of-contrition.html,Like a Prayer,"For thou art the Kingdom and the Power and the Glory Forever and ever. Amen. Hail Mary, full of grace, the Lord is with thee, Blessed art thou amongst women, and blessed is the fruit of thy...  Oh my God, I am heartily sorry for having offended Thee And I detest all my sins because of Thy just punishment But most of all, because I have offended Thee, oh my God Who art all good and deserving of all my love. I firmly resolve with the help of Thy grace To confess my sins, to do penance, to amend my life, And to avoid the temptations of evil.  Oh my God, I am heartily sorry for having offended Thee And I detest all my sins because of Thy just punishment But most of all, because my God, I have offended Thee Who art all good Like I knew you would And deserving of all my love I reserve, I reserve, I reserve I reserve, I resolve I have a reservation I have a reservation! What do you mean it's not in the computer??!!",Madonna
7,Addicted (The One That Got Away),/madonna/addicted-the-one-that-got-away.html,Rebel Heart,"[Verse 1:] Im under your spell Pulled me in took me down with your poisonous touch You brought me to hell (oohohohohoh) Watched me burn with the fever that I love so much You're watching me crawl (oohohohohoh)  You get your kids Take your fist put it right through the wall The drug that I crave (ohohohohohoh) You're so clever you're the devil watch you slither away  [Chorus] See I don't know what it is, but Im attracted to the dark And it was easy to predict You were gonna the one who broke my heart You were gonna be the one who tore it apart Make me fall down on my knees and start to pray You were gonna be the one that got away  You know truth is a lie Bitter fruit, bitter sweet But oh-so divine Now that I've had a taste Like a moth to a flame I'm addicted to fame  [Chorus]  Im-Im addicted Im-Im addicted Im- im addicted To the one that got away",Madonna
8,Ain't No Big Deal,/madonna/aint-no-big-deal.html,In the Beginning,"(Fala:) Reach out, reach out (3 Vezes)  Chorus:  Ain't no big deal to say I love you still Call out my name, I'll be here Ain't no big deal to say my love is real When you reach out I'll be there  Please don't be afraid to look me in the eye Sad time is gone, I got no tears to cry So don't so say you don't know I'm right When I say we'll get by  (chorus)  Nobody makes me feel the way that you do Night time's such a thrill when I spend it with you Now ask me what is on my mind So I can tell you true  Ain't no big thing, uh, yeah  Reach out, reach out (repeat 5 times)  Reach out, reach out, yeah (repeat 2 times) Oww Ain't no big thing, uh, uh, uh, uh, uh Ain't no big thing, uh, uh, uh, uh, uh  (chorus)  Got love for you so strong it's making me high Don't know what I'll do if you won't give it a try So now's the time to make it clear Let me show you why  Aint no big deal to say I.... love you still  Ain't no big deal, uh, uh, uh, uh, uh Ain't no big thing, uh, uh, uh, uh, uh (repetir)  Just reach out I'll be there (2 vezes) I'll be there, yeah (3 vezes)  Reach out, reach out Reach out, reach out Reach out, reach out Reach out  Oh, oh  Ain't no big deal Ain't no big thing (repetir)  Ain't no big deal Ain't no big deal  Ain't no big deal, my love is for real, yow (5 vezes)  Oh, what's that you said, baby?  Ain't no big deal, uh, uh, uh, uh, uh Ain't no big thing, uh, uh, uh, uh, uh Ain't no big deal, uh, uh, uh, uh, uh Ain't no big thing, uh, uh, uh, uh, uh ",Madonna
9,Alone With You,/madonna/alone-with-you.html,,"Don't you treat like I'm anybody Not average, I'm not everyone You criticize me like you're something special But you're not  This is who I am, not ordinary If you want the prize, better pay the price Pointing out all the flaws in me like you were perfect But you're not  There you go Didn't you make a convenient exit I'd rather be on my own I'd rather be all alone There's something you didn't know  Here you come Trying to make a convenient entrance I'm turning my heart into stone I'd rather be all alone Than be alone with you  Try to shoot me down, it'll ricochet You can't escape, always hear my name I'd like to raise the glass to all your arrogance (look it up)  Call it what you want, you're history I'll never understand, you're a mystery You lied with every kiss and all comes down to this  There you go Didn't you make a convenient exit I'd rather be on my own I'd rather be all alone There's something you didn't know  Here you come Trying to make a convenient entrance I'm turning my heart into stone I'd rather be all alone Than be alone with  I'd rather be all alone Now I'm free I'd rather be all alone  I'd rather be all alone Now I'm free I'd rather be all alone You can't handle me",Madonna
