,Nome da Música,link,album,letra,artista
0,23,/manu-gavassi/23.html,MANU,"Me olha no olho já sabe demais E eu nem escondo eu te mostrei e você faz Um jogo que eu gosto nem preciso pedir Me tira daqui, me tira daqui Eu tiro sua roupa você minha paz E beija minha boca mas quer muito mais Me olha e não sabe o que viu em mim Pra ser livre assim, livre assim Eu não me lembro de um céu tão lindo como esse, amor Eu não me lembro de alguém chegar tão perto, amor Eu não me lembro de uma noite tão brilhante assim Eu só lembro de você e de mim Eu não preciso de você mas eu quero eu quero eu quero Eu não preciso de você mas eu quero, ah, eu quero eu quero Se é errado, erro outra vez Ninguém é maduro com 23 Eu não preciso de você mas eu quero eu quero eu quero",Manu Gavassi
1,Amo,/manu-gavassi/amo.html,,"Eu amo o seu sorriso, e seu jeito de falar Eu amo quando você me olha, e eu dou risada sem pensar Eu amo quando você me chama para conversar Eu amo quando você vem, e amo mais ainda te esperar  Eu não sei o que fazer Não tem ninguém aqui pra me impedir de te escrever Outra canção pra me fazer entender Que eu te amo tanto e isso todo mundo vê  Eu nunca acreditei que era mesmo pra valer Eu nunca admiti que me importava com você Agora tanto faz não quero mais me esconder Estou falando na sua frente que eu te amo O que eu faço pra você perceber?  Eu amo o seu sorriso, e seu jeito de falar Eu amo quando você me olha, e eu dou risada sem pensar Eu amo quando você me chama para conversar Eu amo quando você vem, e amo mais ainda te esperar  Eu não sei o que fazer Não tem ninguém aqui pra me impedir de te escrever Outra canção pra me fazer entender Que eu te amo tanto e isso todo mundo vê  Eu nunca acreditei que era mesmo pra valer Eu nunca admiti que me importava com você Agora tanto faz não quero mais me esconder Estou falando na sua frente que eu te amo  Que hoje eu acredito que é mesmo pra valer Confesso, eu admito que me importo com você Agora tanto faz não quero mais me esconder Estou falando na sua frente que eu te amo O que eu faço pra você perceber?",Manu Gavassi
2,Antes do Fim,/manu-gavassi/antes-do-fim.html,MANU,"A gente deixou claro Que não ia passar disso Que não era pra se apaixonar Dois corações cansados, errados O suficiente para não se entregar Mas sempre foi tão fácil É fácil não fazer nada com você De cara amassada De boca fechada Não preciso de mais nada É só você me olhar  Não era pra você ficar Não era pra ser tão bom Não era pra eu acordar te pedindo pra não ir Então, se quiser pode ficar Antes disso ter um fim Só não olha mais assim pra mim Não olha mais assim Se não eu jogo tudo pro ar Se não eu jogo tudo pro ar  Você sorri, eu falo que não é pra passar disso Que eu nunca vou me apaixonar No seu abraço eu paro, me calo Só o suficiente pra não me entregar Mas sei que é tão fácil Foi fácil perder a hora com você Cabelo bagunçado Você do meu lado Dois corpos desenhados pra não desgrudar  Não era pra você ficar Não era pra ser tão bom Não era pra eu acordar te pedindo pra não ir Então, se quiser pode ficar Antes disso ter um fim Só não olha mais assim pra mim Não olha mais assim  Um beijo em minhas costas é poesia Me acostumei com você todo o dia Achando graça do meu sotaque Tem um pouco de você em toda parte Tento esquecer, mas me engano Não fazia parte dos meus planos Querer você aqui, aqui  Não era pra você ficar Não era pra ser tão bom Não era pra eu acordar te pedindo pra não ir Então, se quiser pode ficar Antes disso ter um fim Só não olha mais assim pra mim Não olha mais assim Se não eu jogo tudo pro ar Se não eu jogo tudo pro ar",Manu Gavassi
3,Ao Ar Livre (Do Filme Valente),/manu-gavassi/ao-ar-livre-do-filme-valente.html,,"Como uma estrela esse amor mostrando o norte seja onde for Amor que queima como o sol uma luz que parece um farol Pois conversar não adiantou são palavras que o vento levou  Esses muros se derrubaram quero sentir meus pés sobre o chão deixar de lado o que atrapalhar para ao ar livre estar  Porque ficou tudo tão ruim? E ainda estamos tão longe do fim E quando o dia se completar será que, enfim, algo bom vai ficar?  Agora os muros se derrubaram! Posso sentir meus pés sobre o chão esse amor nós podemos mostrar E ao ar livre estar Amor que queima como o sol",Manu Gavassi
4,Aqui Estamos Nós,/manu-gavassi/aqui-estamos-nos.html,MANU,"[Verso 1] Aqui estamos nós Esperando a sensação De perder o juízo E de perder o chão Aqui estamos nós Sem medo de errar Mas com braços tatuados Querendo apagar  [Pré-Refrão] Você não vai roubar meu coração Porque garanto já roubaram antes de você Você não vai me ouvir pedir perdão Quando isso acabar e eu nem perceber  [Refrão] Eu não te prometo amor, ooh, ooh Não vai ser pra sempre, amor, ooh, ooh Eu não te prometo amor, ooh, ooh Não vai ser pra sempre, amor, ooh, ooh  [Pós-Refrão] Nós somos a geração da solidão Eu finjo que não preciso de aprovação Nós imploramos amor, mas queremos perigo Então me dê a mão e só vem comigo  [Verso 2] Aqui estamos nós Falando sobre a dor Faz parte do meu charme Não acreditar no amor Aqui estamos nós Falando sem saber Pra espantar o tédio Pra tentar entender  [Pré-Refrão] Você não vai roubar meu coração Porque garanto já roubaram antes de você Você não vai me ouvir pedir perdão Quando isso acabar e eu nem perceber  [Refrão] Eu não te prometo amor, ooh, ooh Não vai ser pra sempre, amor, ooh, ooh Eu não te prometo amor, ooh, ooh Não vai ser pra sempre, amor, ooh, ooh  [Pós-Refrão] Nós somos a geração da solidão Eu finjo que não preciso de aprovação Nós imploramos amor, mas queremos perigo Então me dê a mão e só vem comigo  [Outro] Aqui estamos nós Começando a questionar Se vivemos o momento Ou filmamos pra guardar Aqui estamos nós Tentando não chorar Muito novos pra crescer Muito velhos pra mudar",Manu Gavassi
5,Áudio de Desculpas,/manu-gavassi/audio-de-desculpas.html,CUTE BUT (still) PSYCHO,"Eu só queria ser normal Mas eu não sou É só puro trauma, confusão e se quiser Te mostro o meu melhor Te mostro o meu pior Te mostro a verdade Que é ser imperfeita e só  Que sonho ser estável Sonho ser amável Que sonho não botar tudo a perder Ser controlável Mas eu sinto demais Me desculpo eu faço errado Ser de verdade tem um preço Eu sempre pago  Eu só queria ser normal Sem ser clichê Não ser emocionalmente dependente de você Por que eu sou sempre assim? Difícil de ficar Difícil de viver sem mim  Desculpa se eu errei com você Gritei com você Desculpa se eu te faço mal só pra me entreter Eu só queria ser normal Eu só queria ser  Me desculpa se eu errei com você Gritei com você Desculpa se eu te faço mal só pra me entreter Eu só queria ser normal Eu só queria ser  Eu só queria menos culpa e mais amor Poder contar, poder falar sobre o que for Controlar meus impulsos Ser menos visceral Fazer mais sentido me faria menos mal  Eu só queria ser normal Sem ser clichê Não ser emocionalmente dependente de você Por que eu sou sempre assim? Difícil de ficar Difícil de viver sem mim  Desculpa se eu errei com você Gritei com você Desculpa se eu te faço mal só pra me entreter Eu só queria ser normal Eu só queria ser  Me desculpa se eu errei com você Gritei com você Desculpa se eu te faço mal só pra me entreter Eu só queria ser normal Eu só queria ser  (Desculpa se eu errei com você) (Desculpa se eu gritei com você)",Manu Gavassi
6,Caminho de Volta,/manu-gavassi/caminho-de-volta.html,Clichê Adolescente,"Voe pro mundo que te espera hoje à noite Conheça tudo o que sempre sonhou Ouvi dizer que Porto Alegre faz frio Mas foi lá onde começou  Voe pra longe, vou ficar esperando E me lembrando enquanto olho pro céu Que em Salvador eu descobri que seu coração é de papel  Siga o seu caminho sem pensar Mas lembre onde eu vou estar, agora e até o fim Foi a vida que quis assim Me abrace e eu sei que tudo fica bem Mesmo se ninguém acreditar, não importa Espero ser o seu caminho de volta  Voe pro mundo que te espera hoje a noite Veja os sorrisos ansiosos outra vez Foi no Rio que eu descobri que a sua falta é mais do que eu imaginei  E se a distância me fizer esquecer Se olhar pro céu e de repente não te encontrar Feche os olhos e eu sei que meu futuro é onde você está  Siga o seu caminho sem pensar Mas lembre onde eu vou estar agora e até o fim Foi a vida que quis assim Me abrace e eu sei que tudo fica bem Mesmo se ninguém acreditar, não importa Espero ser o seu caminho...  Siga os seus sonhos e volte pra mim O mundo espera por nós, eu posso ouvir E quando nada fizer mais sentido, eu ainda vou estar aqui  Siga o seu caminho sem pensar Mas lembre onde eu vou estar, agora e até o fim Foi a vida que quis assim Me abrace e eu sei que tudo fica bem Mesmo se ninguém acreditar, não importa Espero ser o seu caminho de volta",Manu Gavassi
7,Camiseta,/manu-gavassi/camiseta.html,Vício - EP,"Olho para o céu tentando me acostumar A voltar pra casa sem você, só com o mar Meu amor quem foi que congelou seu coração Algum tempo atrás você faria uma canção  Mas você me deixou só com a sua camiseta Pra lembrar do amor Pra lembrar do amor  Eu não vou desistir de nós dois Eu preciso acreditar que a gente sempre volta E depois Depois de tudo o que eu tenho pra falar Você não vai apagar Não deixe o tempo passar sem mim  Como dois estranhos nessa cidade sem ninguém Você era meu chão e tudo o que eu mais precisei E agora você vem dizer que o tempo vai ajudar Pega sua moto, vem me ver e para de chorar  Mas você me deixou só com a sua camiseta Pra lembrar do amor E eu vou usar, amor  Eu não vou desistir de nós dois Eu preciso acreditar que a gente sempre volta e depois Depois de tudo o que eu tenho pra falar Você não vai apagar  E eu não vou desistir de nós dois Eu preciso acreditar que a gente sempre volta e depois Depois de tudo o que eu tenho pra falar Você não vai apagar Não deixe o tempo passar... sem mim  Mas agora eu mudei amor Tudo o que passamos juntos só eu sei O tempo veio e levou você Mas a sua camiseta eu não vou devolver Você disfarçou bem Eu sei que homem não fica sem ninguém, então Eu vou me divertir e não me leve a sério Quando eu te disser que  E eu não vou desistir de nós dois Eu preciso acreditar que a gente sempre volta e depois Depois de tudo o que eu tenho pra falar Você não vai apagar  E eu não vou desistir de nós dois Eu preciso acreditar que a gente sempre volta e depois Depois de tudo o que eu tenho pra falar Você não vai apagar Não deixe o tempo passar... sem mim",Manu Gavassi
8,Cansei de Você,/manu-gavassi/cansei-de-voce.html,Manu Gavassi,"Eu sabia que esse dia ia chegar Eu tô rindo sem saber o que falar Suas palavras já não fazem disparar meu coração O que aconteceu? Eu já nem sei se eu dou risada ou sinto dó Antigamente minha garganta dava um nó Cada segundo só me prova que acabou Me diz então o que aconteceu?  Eu mudei, eu cresci Finalmente aprendi Que entre nós não tem mais nada a ver E o que a gente faz se nem raiva eu sinto mais Acho que eu posso te dizer Desculpa eu cansei de você!  Você se declara e isso já virou normal E eu dou risada sabe pra não pegar mal Eu já nem reparo muito no que você diz Agora eu sei o que aconteceu Você acha que eu ainda gosto de você Como eu acho um jeito educado de dizer Que eu tô em outra e meu bem não é você Agora eu sei o que aconteceu Não precisa nem se preocupar porque não vai adiantar  Eu mudei, eu cresci Finalmente aprendi Que entre nós não tem mais nada a ver E o que a gente faz se nem raiva eu sinto mais Acho que eu posso te dizer  Eu mudei, eu cresci Finalmente aprendi Que entre nós não tem mais nada a ver E o que a gente faz se nem raiva eu sinto mais Acho que eu posso te dizer Desculpa eu cansei de você",Manu Gavassi
9,Canta Comigo,/manu-gavassi/canta-comigo.html,Manu Gavassi,"Sempre que eu tento te falar Você está longe demais para me ouvir, longe de mim E não tem como te encontrar, você jamais olha pra trás Você quer seguir, distante assim  Se o amor fosse uma canção, você cantaria? Eu escrevi essa melodia pra você, então canta comigo:  {Refrão}  Ouooow, como eu queria ter você de volta Ouooow, você e eu e nada mais importa Ouooow, será que tem que acabar assim? Ouooow, queria um pouco de você pra mim  Eu esqueci das nossas músicas Agora o som do teu silêncio quer calar, a minha voz ( a minha voz )  Será que eu fui longe demais? Será que eu deixei você com o pé atrás, como sempre fiz?  Se o amor fosse uma canção você cantaria? Eu escrevi essa melodia pra você, então canta comigo:  {Refrão}  Ouooow, como eu queria ter você de volta Ouooow, você e eu e nada mais importa Ouooow, será que tem que acabar assim? Ouooow, queria um pouco de você pra mim  Pra mim...",Manu Gavassi
10,Cicatriz,/manu-gavassi/cicatriz.html,Clichê Adolescente,"Só segure a minha mão um pouco E feche a porta quando sair Só me deixe aqui, porque eu cansei de tentar entender Eu queria que suas palavras pudessem de fato mudar O que eu não consigo apagar, o que virou a minha cicatriz Não sei, quando foi que perdemos a cor Quando foi que acabou  Pedi ao tempo pra te ter pra mim Mas não sei se vai adiantar Há tanta coisa por falar; parei o tempo só pra esquecer O vazio que eu sei está por vir Como eu posso sentir saudade com você aqui  Só afaste o cabelo do meu rosto quando Eu começar a chorar Não quero mais conversar, eu só quero te lembrar assim  Quem me dera que o seu abraço pudesse de fato mudar O que eu não consigo apagar, o que virou a minha cicatriz Não sei, quando foi que perdemos a cor Quando foi que acabou  Pedi ao tempo pra te ter pra mim Mas não sei se vai adiantar Há tanta coisa por falar; parei o tempo só pra esquecer O vazio que eu sei está por vir Como eu posso sentir saudade  Depois de tanto tempo é difícil te ver Difícil respirar o mesmo ar que você Eu nunca mais vou esquecer, eu nunca mais vou esquecer Você me olha chorando e segura a minha mão Voou até aqui pra me pedir perdão Eu não tenho nada a dizer, é a última vez que vou ter ver  Pedi ao tempo pra te ter pra mim, mas não sei se vai adiantar Há tanta coisa por falar; parei o tempo só pra esquecer O vazio que eu sei está por vir Como eu posso sentir saudade com você... aqui  Só segure a minha mão um pouco E feche a porta quando sair Só me deixe aqui, porque eu cansei de tentar entender",Manu Gavassi
11,Clichê Adolescente,/manu-gavassi/cliche-adolescente.html,Clichê Adolescente,"Me diz que eu sou linda para eu não acreditar de novo Explica da saudade pra falar que você diz isso pra todas Me abraça forte pra eu não ir Enquanto eu finjo resistir e você ri da minha atuação  Imite meu sotaque até eu rir e te pedir pra parar Cante uma música que eu não estou acostumada a escutar Fale tudo que sentir e se por medo eu sumir Prometo explicar com essa canção  Não vou dizer que não mexeu comigo Ouvir você falar é um perigo O que eu mais quero é acreditar Eu tento fugir mas o mundo conspira Se tudo que você falou for mentira Então minta outra vez pra mim  Abra um sorriso só pra eu te perguntar o motivo Mas pense muito bem se você deve dividir isso comigo Me abrace forte pra eu não ir Eu nem tento resistir e você ri da minha situação  Me conte do passado enquanto tento te decifrar Me fale dos seus sonhos mais malucos E dos seus planos de revolucionar E por um segundo só você e eu no mundo Nós dois e essa simples canção  Não vou dizer que não mexeu comigo Ouvir você falar é um perigo O que eu mais quero é acreditar Eu tento fugir mas o mundo conspira Se tudo que você falou for mentira Então minta outra vez  Chega mais perto eu vou te mostrar O nosso beijo faz tudo melhorar Então não vai embora fique um pouco mais Não pense em nada deixe tudo para trás Eu sei provavelmente vai soar como um clichê adolescente Mas pensando bem que mal tem  Não vou dizer que não mexeu comigo, não Estou começando a acreditar Eu tento fugir mas o mundo conspira Se tudo que você falou for mentira Então minta outra vez pra mim Pra mim, pra mim Então minta outra vez pra mim",Manu Gavassi
12,Conto de Fadas,/manu-gavassi/conto-de-fadas.html,Clichê Adolescente,"Já é tarde e eu aqui Prolongando o fim Abro a porta e vou embora Torcendo pra correr atrás de mim  Era pra sempre, terminou Alguns dias atrás Então por que você complicou Me pedindo para ficar um pouco mais?  A nossa história acabou, eu sei Mas das nossas lágrimas eu sou refém Eu já aprendi o certo a fazer Mas meu coração não consegue entender  Como eu posso ir embora Com você me pedindo pra ficar ? Como eu posso esquecer Se só de olhar pra você me falta o ar? Me solte agora já chegou o fim Não tem conto de fadas dessa vez pra mim Eu não sou a princesa que você sonhou, Não tem final feliz pra nós dois, amor  (Pára, vai... Tem que parar de achar que sua vida é um conto de fadas. Você tá louca!)  Já nem reconheço mais Olhando bem de perto me assustei Você gritava até eu chorar Me fazendo acreditar que eu errei (Hã? Eu?) Era pra sempre até o fim Mas esqueceram de avisar Que o pra sempre acaba sim É só você parar de se importar  A nossa história acabou, eu sei Mas das nossas lágrimas eu sou refém Eu já aprendi o certo a fazer Mas meu coração não consegue entender  Como eu posso ir embora Com você me pedindo pra ficar? Como eu posso esquecer Se só de olhar pra você me falta o ar? Me solte agora já chegou o fim Não tem conto de fadas dessa vez pra mim Eu não sou a princesa que você sonhou Não tem final feliz pra nós dois, amor  O pôr do sol na barra já vem Mas eu não vou cantar com você, meu bem Se eu chorar você não vai estar aqui E eu nunca mais vou te ver sorrir  Eu escrevi no seu coração Mas você esqueceu nossa canção Eu me lembro do mesmo jeito Do amanhecer até quando eu me deito  Como eu posso ir embora Com você me pedindo pra ficar? Como eu posso esquecer Se só de olhar pra você me falta o ar? Me solte agora já chegou o fim Não tem conto de fadas dessa vez pra mim Eu não sou a princesa que você sonhou Não tem final feliz pra nós dois, amor  Então me solte agora já chegou o fim Não tem conto de fadas dessa vez pra mim Eu não sou a princesa que você sonhou Não tem final feliz pra nós dois, amor.",Manu Gavassi
