,Nome da Música,link,album,letra,artista
0,(I Heard It Through The) Grapevine,/marisa-monte/i-heard-it-through-the-grapevine.html,MM,"Ooh, I bet you're wond'rin' how I knew 'bout your plans to make me blue With some other guy you knew before Between the two of us guys you know I love you more It took me by surprise I must say When I found out yesterday Dontcha know that I  Heard it through the grapevine Not much longer would you be mine Oh I heard it through the grapevine Oh I'm just about to lose my mind Honey, honey yeah (Heard it through the grapevine) (Not much longer would you be my baby, ooh, ooh, ooh)  I know a man ain't supposed to cry But these tears I can't hold inside Losin' you would end my life you see cause you mean that much to me You could have told me yourself That you love someone else Instead I  Heard it through the grapevine Not much longer would you be mine Oh I heard it through the grapevine And I'm just about to lose my mind Honey, honey yeah (Heard it through the grapevine) (Not much longer would you be my baby, ooh, ooh, ooh, ooh, ooh)  People say believe half of what you see Son, and none of what you hear But I can't help bein' confused If it's true please tell me dear Do you plan to let me go For the other guy you loved before? Dontcha know I  Heard it through the grapevine Not much longer would you be mine Baby I heard it through the grapevine Ooh I'm just about to lose my mind Honey, honey yeah (Heard it through the grapevine) (Not much longer would you be my baby, yeah, yeah, yeah, yeah)  Honey, honey, I know That you're lettin' me go Said I heard it through the grapevine Heard it through the grapevine",Marisa Monte
1,A Alma E A Matéria,/marisa-monte/a-alma-e-a-materia.html,Universo ao Meu Redor,"Procuro nas coisas vagas ciência Eu movo dezenas de músculos para sorrir Nos poros a contrair, nas pétalas de jasmin Com a brisa que vem roçar da outra margem do mar  Procuro na paisagem cadência Os átomos coreografam a grama do chão Na pele braile pra ler na superfície de mim Milímetros de prazer, quilômetros de paixão  Vem pra esse mundo, Deus quer nascer Há algo invisível e encantado entre eu e você E a alma aproveita pra ser a matéria e viver",Marisa Monte
2,A Menina Dança,/marisa-monte/a-menina-danca.html,Barulhinho Bom: Uma Viagem Musical,"Quando eu cheguei tudo,tudo Tudo estava virado Apenas viro me viro Mas eu mesma viro os olhinhos  Só entro no jogo porque Estou mesmo depois Depois de esgotar O tempo regulamentar  De um lado o olho desaforo Que diz o meu nariz arrebitado Que não levo pra casa Mas se você vem perto eu vou lá  Eu vou lá No canto do cisco No canto do olho A menina dança  E dentro da menina Ainda dança E se você fecha o olho A menina ainda dança  Dentro da menina Ainda dança Até o sol raiar Até o sol raiar  Até dentro de você nascer Nascer o que há",Marisa Monte
3,A Primeira Pedra,/marisa-monte/a-primeira-pedra.html,Coleção,"Atire a primeira pedra Quem não sofreu, quem não morreu por amor Todo corpo que tem um deserto Tem um olho de água por perto Para ouvir basta abrir os poros Para aceitar basta oferecer Para que adiar um desejo De alguém que lhe quer tanto beijo Quem de vocês Resiste a uma tentação Quem pretende revogar a lei do coração Quem ousaria Dessas vozes duvidar Deixa a sua natureza se manifestar",Marisa Monte
4,A Sua,/marisa-monte/a-sua.html,Compacto Simples Marisa Monte,Eu só quero que você saiba Que eu estou pensando em você Agora e sempre mais Eu só quero que você ouça A canção que eu fiz pra dizer Que te adoro cada vez mais E que eu te quero sempre em paz  To com sintomas de saudade To pensando em você Como eu te quero tanto bem Aonde for não quero dor Eu tomo conta de você Pois te quero livre também Como o tempo vai o vento vem  Eu só quero que você caiba No meu colo porque Eu te adoro cada vez mais Eu só quero que você siga Para onde quiser Que eu não vou ficar muito atrás  To com sintomas de saudade To pensando em você Como eu te quero tanto bem Aonde for não quero dor Eu tomo conta de você Pois te quero livre também Como o tempo vai o vento vem  Eu só quero que você saiba Que eu estou pensando em você Pois te quero livre também Como o tempo vai o vento vem Porque eu te quero livre também Como o tempo vai o vento vem,Marisa Monte
5,A Sua (traducción),/marisa-monte/a-sua-traduccion.html,,"[Tua]  yo solo quiero que sepas Que estoy piensando en ti Ahora y siempre mas Yo solo quiero que escuches la cancion que hice para decirte... que te adoro cada vez mas Yo te quiero siempre en paz  Estoy con sintomas de *saudade* Estoy piensando en ti Como yo te quiero tan bien Donde vayas, no quiero dolor Yo protegere a ti Pues te quiero libre tambien Como el tiempo lleva y el viento trae  Yo solo quiero que te ajustes En mis brazos porque... yo te adoro cada vez mas Solo quiero que sigas Para donde quiera que no estare muy detraz  Estoy con sintomas de *saudade* Estoy piensando en ti Como yo te quiero tan bien Donde vayas, no quiero dolor Yo protegere a ti Pues te quiero libre tambien Como el tiempo lleva y el viento trae  yo solo quiero que sepas Que estoy piensando en ti Pues te quiero libre tambien Como el tiempo lleva y el viento trae  *Saudade* hechar de menos",Marisa Monte
6,Abololô,/marisa-monte/abololo.html,"Memórias, Crônicas e Declaraçoes de Amor",Abololô Abolocô E a saudade vem Vem pra lhe dizer Que no peito Ha vazio Ha falta de alguém  Abololô Abolocô E a saudade vem Vem pra qualquer um Qualquer hora Por alguem que foi Para longe e ja volta Foi para não mais voltar Gente que sente e que chora Alguém que foi embora  Abololô Abolocô E a saudade vem Vem pra lhe dizer Que no peito Ha vazio Ha falta de alguém  Abololô Abolocô E a saudade vem Vem pra qualquer um Qualquer hora Por alguem que foi Para longe e ja volta Foi para não mais voltar Gente que sente e que chora Alguém que foi embora,Marisa Monte
7,Aconteceu,/marisa-monte/aconteceu.html,Infinito Particular,Aconteceu O que aconteceu Foi melhor assim Estava por um fio Estava por um triz Estava já no fim Todo mundo via Que acontecia Pois aconteceu Era o que devia Quando um descaminho Acha o seu desvio Tudo se alivia Foi melhor assim Quando dei por mim Já estava aqui e agora,Marisa Monte
8,Água Também é Mar,/marisa-monte/agua-tambem-e-mar.html,"Memórias, Crônicas e Declaraçoes de Amor","Água também é mar E aqui na praia também é margem Já que não é urgente Aguente e sente aguarde o temporal  Chuva também é água do mar lavada O céu imagem Há que tirar o sapato e pisar Com tato nesse litoral  Gire a torneira, perigas ver Inunda o mundo, o barco é você  Na distância, há de sonhar Há de estancar Gotas tantas não demora Sede estranha",Marisa Monte
9,Ainda Bem,/marisa-monte/ainda-bem.html,O Que Você Quer Saber De Verdade,Ainda bem Que agora encontrei você Eu realmente não sei O que eu fiz pra merecer Você  Porque ninguém Dava nada por mim Quem dava eu não tava a fim Até desacreditei De mim  O meu coração Já estava acostumado Com a solidão quem diria Que ao meu lado você iria ficar  Você veio pra ficar Você que me faz feliz Você que me faz cantar Assim  O meu coração já estava aposentado Sem nenhuma ilusão Tinha sido maltratado Tudo se transformou  Agora você chegou Você que me faz feliz Você que me faz cantar Assim  Ainda bem  Nanananana Nanananaanana...   O meu coração Já estava acostumado Com a solidão Quem diria que ao meu lado Você iria ficar  Você veio pra ficar Você que me faz feliz Você que me faz cantar Assim  O meu coração já estava aposentado Sem nenhuma ilusão Tinha sido maltratado Tudo se transformou  Agora você chegou Você que me faz feliz Você que me faz cantar assim  Nanananana Nanananaanana...  Ainda Bem...,Marisa Monte
10,Ainda Lembro (part. Ed Motta),/marisa-monte/ainda-lembro.html,Barulhinho Bom: Uma Viagem Musical,"Ainda lembro o que passou eu você em qualquer lugar dizendo ""onde você for eu vou"" e quando eu perguntei ouvi você dizer que eu era tudo o que você sempre quis mesmo triste eu estava feliz e acabei acreditando em ilusões eu nem pensava em ter que esquecer você agora vem você dizer ""amor, eu errei com você e só assim pude entender que o grande mal que eu fiz foi a mim mesmo"" vem você dizer ""amor, eu não pude evitar"" e eu te dizendo liga o som e apaga a luz",Marisa Monte
11,Alta Noite,/marisa-monte/alta-noite.html,Coleção,"Alta noite já se ia ninguém na estrada andava No caminho que ninguém caminha Alta noite já se ia Ninguém com os pés na água  Nenhuma pessoa sozinha Ia Nenhuma pessoa vinha Nem a manhãzinha Nem a madrugada  Nem a estrela-guia, nem a estrela-d'alva Alta noite já se ia ninguém na estrada andava No caminho que ninguém caminha alta noite já se ia Ninguém com os pés na água  Nem a estrela-guia, nem a estrela-d'alva Alta noite já se ia ninguém na estrada andava No caminho que ninguém caminha alta noite já se ia Ninguém com os pés na água  Nenhuma pessoa sozinha Ia Nenhuma pessoa vinha Nem a manhãzinha  Nem a estrela-guia, nem a estrela-d'alva Alta noite já se ia ninguém na estrada andava No caminho que ninguém caminha alta noite já se ia Ninguém com os pés na água  Nenhuma pessoa sozinha ia Nenhuma pessoa vinha Nem a manhãzinha, nem a madrugada  Nem a estrela-guia, nem a estrela-d'alva Alta noite já se ia ninguém na estrada andava No caminho que ninguém caminha alta noite já se ia Ninguém com os pés na água  Nenhuma pessoa sozinha ia Nenhuma pessoa vinha Nem a manhãzinha, nem a madrugada  Nem a estrela-guia, nem a estrela-d'alva Alta noite já se ia ninguém na estrada andava No caminho que ninguém caminha alta noite já se ia Ninguém com os pés na água",Marisa Monte
