,Unnamed: 0,Nome da Música,link,album,letra,artista
0,0,100% Feminista (Part. Karol Conká),/mc-carol/100-feminista.html,Bandida,"Presenciei tudo isso dentro da minha família Mulher com olho roxo espancada todo dia Eu tinha uns cinco anos, mas já entendia Que mulher apanha se não fizer comida Mulher oprimida, sem voz, obediente Quando eu crescer eu vou ser diferente  Eu cresci, prazer carol bandida Represento as mulheres, 100 por cento feminista Eu cresci, prazer carol bandida Represento as mulheres, 100 por cento feminista  Represento aqualtune, represento carolina Represento dandara e xica da silva Sou mulher, sou negra, meu cabelo é duro Forte, autoritária E às vezes frágil, eu assumo Minha fragilidade não diminui minha força Eu que mando nessa porra Eu não vou lavar a louça Sou mulher independente não aceito opressão Abaixa sua voz, abaixa sua mão  Mais respeito Sou mulher destemida Minha marra vem do gueto Se tavam querendo peso Então toma esse dueto Desde pequenas aprendemos Que silêncio não soluciona Que a revolta vem à tona Pois a justiça não funciona Me ensinaram que éramos insuficientes Discordei, pra ser ouvida o grito Tem que ser potente  Eu cresci, prazer karol bandida Represento as mulheres, 100 por cento feminista Eu cresci, prazer karol bandida Represento as mulheres, 100 por cento feminista  Represento nina, elsa, dona celestina Represento zeferina, frida, dona brasilina Tentam nos confundir Distorcem tudo que eu sei Século Xxi e ainda querem nos limitar Com novas leis A falta de informação enfraquece a mente Tô no mar crescente porque eu faço diferente  Eu cresci, prazer carol bandida Represento as mulheres, 100 por cento feminista Eu cresci, prazer karol bandida Represento as mulheres, 100 por cento feminista Eu cresci, prazer carol bandida Represento as mulheres, 100 por cento feminista Eu cresci, prazer karol bandida Represento as mulheres, 100 por cento feminista",MC Carol
1,1,762 Fez Ela Esquecer a Família,/mc-carol/762-fez-ela-esquecer-a-familia.html,Bandida,"Hoje é baile de favela, ela já tá doidona Abriu o espacate, pensando que era a Madonna Essas novinha são safada, elas quer sentar Quando vê bandido, começa a rebolar Até mulher casada tá perdendo a linha O 762 fez ela esquecer a família  Ela desce no Ela sobe no Ela quica no No piru, no piru, no piru, no piru Ela desce no Ela sobe no Ela quica no No piru, no piru, no piru, piru, piru No piru, no piru, no piru, piru, piru  No piru No piru Ela desce no Ela sobe no Ela quica no O 762 fez ela esquecer a família  Hoje é baile de favela, ela já tá doidona Abriu o espacate, pensando que era a Madonna Essas novinha são safada, elas quer sentar Quando vê bandido, começa a rebolar Até mulher casada tá perdendo a linha O 762 fez ela esquecer a família  Ela desce no Ela sobe no Ela quica no No piru, no piru, no piru, no piru Ela desce no Ela sobe no Ela quica no No piru, no piru, no piru, piru, piru No piru, no piru, no piru, piru, piru  No piru No piru Ela desce no Ela sobe no Ela quica no O 762 fez ela esquecer a família",MC Carol
2,2,A Vingança,/mc-carol/a-vinganca.html,Bandida,"Cheguei no baile, percebi logo a maldade Nem conheço esse maluco, pagou uísque com Sprit Me ofereceu loló na intenção de me comer Vou te dar um papo, mas guarda pra você  Eu não gosto de cerveja Eu não gosto de maconha Tu tá pensando que vai me deixar doidona? Tu foi no banheiro Deixou o copo na mesa Sem tu perceber eu sabotei sua cerveja Tu foi no banheiro Deixou o copo na mesa Sem tu perceber eu sabotei  Queria me levar de ralo, me deixando mal Tudo planejado pra fazer bacanal Eu sou Carol Bandida, sou sagaz, sou tranquilona Não aceito mancada, se liga na tua responsa Agora, você se fodeu, sou mais esperta que você Você tá doidão seus amigo vão te comer Vão te comer, vão te comer Sou mais esperta que você, seus amigo  Cheguei no baile, percebi logo a maldade Nem conheço esse maluco, pagou uísque com Sprit Me ofereceu loló na intenção de me comer Vou te dar um papo, mas guarda pra você  Eu não gosto de cerveja Eu não gosto de maconha Tu tá pensando que vai me deixar doidona? Tu foi no banheiro Deixou o copo na mesa Sem tu perceber eu sabotei sua cerveja Tu foi no banheiro Deixou o copo na mesa Sem tu perceber eu sabotei  Queria me levar de ralo, me deixando mal Tudo planejado pra fazer bacanal Eu sou Carol Bandida, sou sagaz, sou tranquilona Não aceito mancada, se liga na tua responsa Agora, você se fodeu, sou mais esperta que você Você tá doidão, seus amigo vão te comer Vão te comer, vão te comer Sou mais esperta que você Seus amigo vão te comer Vão te comer, vão te comer Sou mais esperta que você Seus amigo vão te comer Vão te comer, vão te comer Sou mais esperta que você Seus amigo vão te comer",MC Carol
3,3,Ar-Condicionado,/mc-carol/ar-condicionado.html,,"Sou Carol de Niterói Vou mandar meu papo Eu não sou cerveja Mas só vivo no gelado  No ar condicionado, no ar condicionado (Vou te comer, vou te comer) No ar condicionado, no ar condicionado (Vou te comer, vou te comer) No ar condicionado, no ar condicionado  Não quero ventilador Tá calor pra caralho Quero ar condicionado, quero ar condicionado (Vou te comer, vou te comer) No ar condicionado, no ar condicionado (Vou te comer, vou te comer)  Tirou minha calcinha E meteu o pau gelado No ar condicionado, no ar condicionado  Não quero ventilador Tá calor pra caralho Quero ar condicionado, quero ar condicionado Se o ar pifar Eu vou trocar de namorado  Quero ar condicionado, quero ar condicionado Novinho daqui do baile Vou dormir no seu quarto No ar condicionado, no ar condicionado  Sou Carol de Niterói Vou mandar meu papo Eu não sou cerveja Mas só vivo no gelado  No ar condicionado, no ar condicionado (Vou te comer, vou te comer) No ar condicionado, no ar condicionado (Vou te comer, vou te comer) No ar condicionado, no ar condicionado  Não quero ventilador Tá calor pra caralho Quero ar condicionado, quero ar condicionado (Vou te comer, vou te comer) No ar condicionado, no ar condicionado (Vou te comer, vou te comer)  Tirou minha calcinha E meteu o pau gelado No ar condicionado, no ar condicionado  Não quero ventilador Tá calor pra caralho Quero ar condicionado, quero ar condicionado Se o ar pifar Eu vou trocar de namorado  Quero ar condicionado, quero ar condicionado Novinho daqui do baile Vou dormir no seu quarto No ar condicionado, no ar condicionado  Sou Carol de Niterói Vou mandar meu papo Eu não sou cerveja Mas só vivo no gelado  No ar condicionado, no ar condicionado (Vou te comer, vou te comer) No ar condicionado, no ar condicionado (Vou te comer, vou te comer) No ar condicionado, no ar condicionado",MC Carol
4,4,Bateu Uma Onda Forte,/mc-carol/bateu-uma-onda-forte.html,,"Caralho, caralho Bateu uma onda forte Tô vendo um macaco em cima do poste Ai caralho, que mina maluca Tô vendo um macaco em cima do poste Caralho, bateu uma onda forte Tô sentindo um rato dentro do meu short Novinho interesseiro, eu vou te deixar forte Vai fumar maconha segurando o meu malote Novinho interesseiro, eu vou te deixar forte Vai fumar maconha segurando o meu malote  Ai caralho, que mina maluca Caralho, caralho Bateu uma onda forte Tô vendo um macaco em cima do poste Ai caralho, que mina maluca Tô vendo um macaco em cima do poste Caralho, bateu uma onda forte Tô sentindo um rato dentro do meu short Novinho interesseiro, eu vou te deixar forte Vai fumar maconha segurando o meu malote Novinho interesseiro, eu vou te deixar forte Vai fumar maconha segurando o meu malote",MC Carol
5,5,Delação Premiada,/mc-carol/delacao-premiada.html,Bandida,"Troca de plantão a bala come é vera Ontem teve arrego Rolou baile na favela  Sete da manhã Muito tiro de meiota Mataram uma criança indo pra escola  Na televisão A verdade não importa É negro, favelado, então tava de pistola  Cadê o Amarildo? Ninguém vai esquecer Vocês não solucionaram A morte do Dg  Afastamento da polícia é o único resultado Não existe justiça Se assassino tá fardado  Na televisão A verdade não importa É negro, favelado, então tava de pistola  Na televisão A verdade não importa É negro, favelado, então tava de pistola  Três dias de tortura Numa sala cheia de rato É assim que eles tratam o bandido, favelado  Bandido rico e poderoso Tem sela separada Tratamento vip e delação premiada  Na televisão A verdade não importa É negro, favelado, então tava de pistola",MC Carol
6,6,Jorginho Me Empresta a 12,/mc-carol/jorginho-me-empresta-a-12.html,Bandida,Filho da puta Me deixou a pé Veio pra cá pro Baile Pra comer outra mulher  Me trancou em casa Me deixou sem dinheiro Jorginho me empresta a 12 Vou matar esse maconheiro  Ôh Jorginho me empresta a 12 Pra mim fazer um barulho Vou matar esse maconheiro  Ôh Jorginho me empresta a 12 Ôh Jorginho me empresta a 12 Ôh Jorginho me empresta a 12,MC Carol
7,7,Liga pra Samu,/mc-carol/liga-pra-samu.html,,Explanou no microfone Que queria transar Ela bebeu demais Ela falou sem pensar Minha amiga não é disso Ela é mina de família Se embalou no ritmo Ritmo da putaria   Liga pra Samu Liga pra Samu Ela quis transar com três Deu hemorragia no cu  Eu fui atrás Eu avisei Quando eu fui ver Ela foi embora com três O Dj anunciou Eu to muito preocupada A minha mina tá na treta desmaiada   Liga pra Samu Liga pra Samu Ela quis transar com três Deu hemorragia no cu  Explanou no microfone Que queria transar Ela bebeu demais Ela falou sem pensar Minha amiga não é disso Ela é mina de família Se embalou no ritmo Ritmo da putaria   Liga pra Samu Liga pra Samu Ela quis transar com três Deu hemorragia no cu  Eu fui atrás Eu avisei Quando eu fui ver Ela foi embora com três O Dj anunciou Eu to muito preocupada A minha mina tá na treta desmaiada   Liga pra Samu Liga pra Samu Ela quis transar com três Deu hemorragia no cu,MC Carol
8,8,Mamo Tu,/mc-carol/mamo-tu.html,,Essa letra não pertence ao artista  A música não aparecerá mais no perfil nos próximos dias,MC Carol
9,9,Meu Namorado É Maior Otário,/mc-carol/meu-namorado-e-maior-otario.html,,"Meu namorado é maior otário Ele lava minhas calcinhas Se ele fica cheio de marra eu mando ele pra cozinha Se tu não tá gostando, então dorme no portão Porque eu vou pro baile, vou pra minha curtição  Acaba com essa, vai Vai, vai Acaba com essa, vai Vai, vai",MC Carol
