,Nome da Música,link,album,letra,artista
0,10 de Junho,/pitty/10-de-junho.html,,"Um dia passei por uma rua escura, cheia de cartazes Colados, sem movimento nenhum. De repente escutei Palmas e cantos, me assustei, mas logo notei que era um Aniversário.  E aquela rua se tornou iluminada, caminhada por todos, Carros, motos e pessoas, todos juntos cantando em uma só Voz: Viva a quem merece, a verdadeira luz está no sol, mas Minha vida é dedicada a quem o tem o poder do dia 10. Já vi de todo menos o poder do dia 10, já fiz de tudo Pra tentar entender, o que queriam fazer com você. Sentir então o vento se agitar, e uma voz a susurrar: Conheça agora!  Sou de cabeça aos pés aquela que exerceu o poder dia 10, dia 10 de junho. Sou é brasileira nacional, que tem Sangue bravo, azul não sei não, é coisa de luxúria, sou mais Vermelho cor de muito esplendor aquele que fez mais é o Ganhador.  Sou poderosa como quiser, cada palavra que dizer lhe Mostrarei com muito prazer, er, er!  Sou a lua e o sol, o céu da manhã e as estrelas da Noite. Posso fazer o que quiser, cada sorriso que dou Dá origem a um terremoto no Japão.  Sou dia 10 de junho",Pitty
1,8 Ou 80,/pitty/8-ou-80.html,A Trupe Delirante no Circo Voador,"Todo mundo tem segredo Que não conta nem pra si mesmo Todo mundo tem receio Do que vê diante do espelho  Eu só quero o começo Me entedia lidar com o meio Quero muito, tenho apego Já não quero e só resta desprezo  Nem sempre ando entre os meus iguais Nem sempre faço coisas legais Me dou bem com os inocentes Mas com os culpados me divirto mais  Todo mundo tem segredo Que não conta nem pra si mesmo Todo mundo tem receio Do que vê diante do espelho  Todo mundo tem desejo Que não divide nem com o travesseiro Um remédio pra amargura Ou as drogas que vêm com bula  Nem sempre ando entre os meus iguais Nem sempre faço coisas legais Me dou bem com os inocentes Mas com os culpados me divirto mais  Não conheço o que existe entre o 8 e o 80 Não conheço o que existe entre o 8 e o 80  Nem sempre ando entre os meus iguais Nem sempre faço coisas legais Me dou bem com os inocentes Mas com os culpados me divirto mais",Pitty
2,A Massa,/pitty/a-massa.html,Turnê SETEVIDAS - Ao Vivo,"O que se passa com a massa? Deglutida antes de assar A massa já mastigada Sem ter tido tempo de descansar  Que iguaria sem par A massa inerte no pote Quitute igual não há A massa entregue à própria sorte  Receita incompleta na massa Não faz o bolo crescer Se a massa for triturada Que consistência vai ter?  Que massa mais desnutrida Carece de adubo ou fermento Quem dera a massa fosse Manjar do mais suculento  A massa é feita pra saciar A fome dos que a sabem modelar Regurgitada pra lá e pra cá Bota fermento nessa massa, deixa fermentar Que a regra de ouro se faça: Massa sem adubo não há  O estômago revira com a massa vazia Não passa de uma ração Não querem massa indigesta Não querem perder a razão  Que iguaria sem par A massa inerte no pote Quitute igual não há A massa entregue à própria sorte  A massa é feita pra saciar A fome dos que a sabem modelar Regurgitada pra lá e pra cá Bota fermento nessa massa, deixa fermentar Que a regra de ouro se faça: Massa sem adubo não há",Pitty
3,A Menina Dança,/pitty/a-menina-danca.html,,"Quando eu cheguei, tudo, tudo Tudo estava virado Apenas viro, me viro Mas eu mesma viro os olhinhos  Só entro no jogo porque Estou mesmo depois Depois de esgotar O tempo regulamentar  De um lado o olho desaforo Que diz o meu nariz arrebitado E não levo para casa Mas se você vem perto eu vou lá  Eu vou lá  No canto do cisco No canto do olho A menina dança Dentro da menina Ela ainda dança E se você fecha o olho A menina ainda dança Dentro da menina Ela ainda dança  Até o sol raiar Até o sol raiar Até dentro de você nascer Nascer o que há  Quando eu cheguei, tudo, tudo Tudo estava virado Apenas viro, me viro Mas eu mesma viro os olhinhos",Pitty
4,A Saideira,/pitty/a-saideira.html,{Des}concerto: ao Vivo,"Ei! Não vá ainda embora Beba mais um copo É que logo agora vai começar a história  Ei! Não vá ainda embora Beba mais um copo É que logo agora vai começar a história  Se sente na pele que chegou a hora Saber a qual é olhando no olho Pra alguns isso assusta, mas é tão necessário Pra ter uma noção do que é real Pra se ter uma noção do que é real  Mas, ei! Não vá ainda embora Beba mais um copo É que logo agora já começou a história  Ei! Não, não vá ainda embora Beba mais um copo É que logo agora já começou a história  Se sente na pele que chegou a hora Saber a qual é olhando no olho Pra alguns isso assusta, mas é tão necessário Pra ter uma noção do que é real Pra se ter uma noção do que é real  Mais um copo quase quente Pra pessoas um tanto frias  Mais um copo quase quente Pra pessoas um tanto frias Oh, tão frias Oh, tão frias Oh, tão frias",Pitty
5,A Sombra,/pitty/a-sombra.html,Chiaroscuro,Pra que dissimular Se ela me segue aonde quer que eu vá? Melhor encarar E aprender com ela a caminhar  Não vou mais negar Por todo caminho minha sombra está  Eu quero saber me querer Com toda beleza e abominação Que há em mim  Isso nunca se desfaz Enquanto há desejo não há paz  Eu quero saber me querer Com toda beleza e abominação Que há em mim,Pitty
6,Aahhh...!,/pitty/aahhh.html,Anacrônico,"Abro bem a boca Puxo o ar com força e nada acontece Tá tudo travado, ficou complicado Daqui a pouco estouro feito um balão Se o ar que vem do meu pulmão não é suficiente E eu tô sufocando, preciso falar Tá tudo tão rarefeito e eu longe de ser perfeito  Sopro Apnéia Falta de ar (4x)",Pitty
7,Abra a Felicidade,/pitty/abra-a-felicidade.html,,"Alô, aumente o som Tem alguém aí me ouvindo? Um novo dia chegou E eu quero pra começar Dizer que a onda é de quem chegar Então não to sozinho nessa  Vem curtir comigo o dia já vem Abra a felicidade você também Vamos sentir algo novo (vamos sentir algo novo) Vem curtir comigo, isso faz tão bem Abra um sorriso no rosto de alguém Pra eu sentir como é bom  Abra a felicidade que tem aí (x4)  Dá licença, chega aí Que eu tenho uma parada pra você ouvir Hoje eu acordei num clima bacana Alegria transbordou e me lembrou que alguém me ama Veja só, ontem eu tava perdido Hoje eu tô sem problema e muito leve Até pode acontecer o mesmo com você Eu tô rindo à toa, quem mais vai querer?  Quero ver o sol brilhar Sem parar Será que é pedir demais? (claro que não) Hoje eu quero sair com meus amigos por aí A vida é muito curta pra que desperdiçar?  Vem curtir comigo o dia já vem Abra a felicidade você também Vamos sentir algo novo (vamos sentir algo novo) Vem curtir comigo, isso faz tão bem Abra um sorriso no rosto de alguém Pra eu sentir como é bom  Se você ouve o seu coração O mundo cabe na sua mão Quem planta amores pelo caminho Não encontra nenhum espinho E quem sabe eu te encontro lá Existe tanto a compartilhar Eu já ergui a ponte É só atravessar  Então vem curtir comigo o dia já vem Abra a felicidade você também Vamos sentir algo novo (vamos sentir algo novo) Vem curtir comigo, isso faz tão bem Abra um sorriso no rosto de alguém Pra eu sentir como é bom  Abra a felicidade que tem aí (x12)",Pitty
8,Admirável Chip Novo,/pitty/admiravel-chip-novo.html,Turnê SETEVIDAS - Ao Vivo,"Pane no sistema, alguém me desconfigurou Aonde estão meus olhos de robô? Eu não sabia, eu não tinha percebido Eu sempre achei que era vivo  Parafuso e fluído em lugar de articulação Até achava que aqui batia um coração Nada é orgânico é tudo programado E eu achando que tinha me libertado  Mas lá vem eles novamente Eu sei o que vão fazer Reinstalar o sistema  Pense, fale, compre, beba Leia, vote, não se esqueça Use, seja, ouça, diga Tenha, more, gaste, viva  Pense, fale, compre, beba Leia, vote, não se esqueça Use, seja, ouça, diga  Não senhor, sim senhor Não senhor, sim senhor  Pane no sistema, alguém me desconfigurou Aonde estão meus olhos de robô? Eu não sabia, eu não tinha percebido Eu sempre achei que era vivo  Parafuso e fluído em lugar de articulação Até achava que aqui batia um coração Nada é orgânico, é tudo programado E eu achando que tinha me libertado  Mas lá vem eles novamente Eu sei o que vão fazer Reinstalar o sistema  Pense, fale, compre, beba Leia, vote, não se esqueça Use, seja, ouça, diga Tenha, more, gaste, viva  Pense, fale, compre, beba Leia, vote, não se esqueça Use, seja, ouça, diga  Não senhor, sim senhor Não senhor, sim senhor  Mas lá vem eles novamente Eu sei o que vão fazer Reinstalar o sistema",Pitty
9,Agora Só Falta Você,/pitty/agora-so-falta-voce.html,Regravação de Rita Lee,Um belo dia resolvi mudar E fazer tudo o que eu queria fazer Me libertei daquela vida vulgar Que eu levava estando junto a você  E em tudo que eu faço Existe um porquê Eu sei que eu nasci Sei que eu nasci pra saber  E fui andando sem pensar em voltar E sem ligar pro que me aconteceu Um belo dia vou lhe telefonar Pra lhe dizer que aquele sonho cresceu  No ar que eu respiro Eu sinto prazer De ser quem eu sou De estar onde estou  Agora só falta você,Pitty
