,Nome da Música,link,album,letra,artista
0,A Child Is Born,/rihanna/a-child-is-born.html,,"As I was walkin' down the road to bethlehem one night I looked up to the sky and there I saw a wondrous sight A star was shining brighter than I'd ever seen before And a host of angels sang to me, Never heard a song so pure They said don't be afraid, We bring good news to all the world With great tidings of joy for every boy and every girl  [chorus] A child is born On this holy night And all the angels sing of the joy he brings With a star so bright So come to see Mary's sweet baby And let our praises ring to the newborn king While he sleeps so peacefully So peacefully Oh yeah  As I went down into the town to see what I could see Three mighty kings with golden rings came ridin' up to me They said they seek the child Who was born beneath the star Of all the kings this one would be the mightiest by far So wake up everybody, 'cause the blessed day has come And ring the bell so we can tell the news to everyone  [chorus] A child is born On this holy night And all the angels sing of the joy he brings With a star so bright So come to see Mary's sweet baby And let our praises ring to the newborn king while he Sleeps so peacefully So peacefully  Hallelujah (repeated)  So wake up everybody, 'cause the blessed day has come And ring the bell so we can tell the news to everyone  [chorus] A child is born On this holy night And all the angels sing of the joy he brings With a star so bright So come to see Mary's sweet baby And let our praises ring to the newborn king While he sleeps so peacefully So peacefully Oh yeah",Rihanna
1,A Girl Like Me,/rihanna/a-girl-like-me.html,A Girl Like Me,"Some girls play the game They all walk and talk And they dress the same Nothin' New To Say Don't they realize That it's so easy to see Right though their disguise Makes me wonder why When the whole worlds turnin left It's when I'm goin right I need someone to let me be Just who I am inside  'Cause a girl like me Is just a lil' different from all the rest And a girl likes me Never Settles for Second Best Could it be a boy like you That would give me anything If I asked him to To take all my dreams And Make them true Show me all the reasons that you Ought to be with a girl like me Just like me  Possibility Got me trippin' Thinkin' of what could be Between you and me Still I need to know Should I keep this feelin' Or let it go I can't wait no more So now's the time To speak your mind And Show me what you feel So tell me if you Want to take a chance On something real  'Cause a girl like me Is just a lil' different from all the rest And a girl likes me Never Settles for Second Best Could it be a boy like you That would give me anything If I asked him to To take all my dreams And Make them true Show me all the reasons that you Ought to be with a girl like me Just like me  Mirror Mirror on the wall Catch me now before I fall I wish I may, I wish I might Find the Answer here tonight Mirror Mirror on the wall Catch me now before I fall I wish I may, I wish I might Find the Answer here tonight  When the whole world's turnin left It's when I'm going right I need someone to let me be Just who I am inside  'Cause a girl like me Is just a lil' different from all the rest And a girl likes me Never Settles for Second Best Could it be a boy like you That would give me anything If I asked him to Take all my dreams And Make them true Show me all the reasons that you Ought to be with a girl like me Just like me",Rihanna
2,A Million Miles Away,/rihanna/a-million-miles-away.html,A Girl Like Me,"Here we lay face to face once again Silence cuts like a knife as we pretend. and I’m wondering who will be to first to say what we both know We're just holding on to could have been and we should be letting go.  It feels like you’re a million miles away as your lying here with me tonight I can’t even find the words to say I can’t find a way to make it right and we both know that the stories ending, we play the part but we're just pretending and I can’t hide the tears cause even though your here, it feels like you’re a million miles away.  Was it me, or was it you that broke away? for what we were, it’s like a season love is change and every time I think about it, it tears me up inside Like the rivers of emotions but I got no more tears to cry.  It feels like you’re a million miles away as your lying here with me tonight I can’t even find the words to say I can’t find a way to make it right and we both know that the stories ending, we play the part but we're just pretending and I can’t hide the tears cause even though your here, it feels like you’re a million miles away.  We can try to talk it over but we walked that road before, while our song is playing its last note, we both know for sure that its time to close that door.  It feels like you’re a million miles away as your lying here with me tonight I can’t even find the words to say I can’t find a way to make it right and we both know that the stories ending, we play the part but we're just pretending and I can’t hide the tears cause even though your here, it feels like you’re a million miles away.",Rihanna
3,Airplanes,/rihanna/airplanes.html,Regravação de B.o.B,"Can we pretend that airplanes in the night sky are like shooting stars I could really use a wish right now, a wish right now, a wish right now Can we pretend that airplanes in the night sky are like shooting stars I could really use a wish right now, a wish right now, a wish right now  I could use a dream or a Jeanie or a wish To go back to a place much simpler than this 'Cause after all the partyin' and smashin' and crashin'  And all the glitz and glam and the fashion And all the pandemonium and all the madness There comes a time when you fade to the blackness And when you're starin at the phone in your lap And you hopin' but them people never call you back But that's just how the story unfolds You get another hand soon after you fold And when your plans unravel in the sand What would you wish for if you had one chance? So airplane airplane sorry I'm late I'm on my way so don't close that gate If I don't make that then I'll switch my flight and I'll be right back at it by the end of the night  Can we pretend that airplanes in the night sky are like shooting stars I could really use a wish right now, a wish right now, a wish right now Can we pretend that airplanes in the night sky are like shooting stars I could really use a wish right now, a wish right now, a wish right now  Yeah somebody take me back to the days Before this was a job before I got paid Before it ever mattered what I had in my bank Yeah back when I was trying to get into the subway And back when I was rappin for the hell of it But nowadays we rappin' to stay relevant I'm guessing that if we could make some wishes out or airplanes Then maybe oh maybe I'd go back to the days Before the politics that we call the rap game And back when ain't nobody listened to my mix tape And back before when I tried to cover up my slang But this is for the Decatur what's up Bobby Ray So can I get a wish to end the politics And get back to the music that started this shit So here I stand and then again I say I'm hopin we can make some wishes outa airplanes  Can we pretend that airplanes in the night sky are like shooting stars I could really use a wish right now, a wish right now, a wish right now Can we pretend that airplanes in the night sky are like shooting stars I could really use a wish right now, a wish right now, a wish right now (Repeat)  I could really use a wish right now I could really use a wish right now Like, like, like shootin stars I could really use a wish right now A wish a wish right now",Rihanna
4,All Of The Lights,/rihanna/all-of-the-lights.html,Regravação de Kanye West,"All of the lights (all of the lights) (Lights, lights) All of the lights (all of the lights)  [Rihanna] Turn up the lights in here baby Extra bright, I want y'all to see this Turn up the lights in here, baby You know what I need Want you to see everything Want you to see all of the lights  (All of the lights)  Fast cars, shooting stars (All of the lights, all of the lights) Until it's Vegas everywhere we are (All of the lights, all of the lights)  If you want it you can get it for the rest of your life If you want it you can get it for the rest of your life  [Kanye West] Something wrong I hold my head MJ gone...our n-gga dead! I slapped my girl, she called the feds I did that time and spent that bread I'm heading home, I'm almost there I'm on my way, heading up the stairs To my surprise, a n-gga replacing me I had to take 'em to that ghetto university  [Chorus] All of the lights Cop lights, flash lights, spot lights Strobe lights, street lights (All of the lights, all of the lights) Fast life, drug life Thug life, rock life Every night (All of the lights)  [Rihanna] Turn up the lights in here, baby Extra bright, I want y'all to see this Turn up the lights in here, baby You know what I need, want you to see everything Want you to see all of the lights  [Kanye West] Restraining order Can't see my daughter Her mother, brother, grandmother hate me in that order Public visitation We met at Borders Told her she take me back I'll be more supportive I made mistakes I bump my head Courts suck me dry I spent that bread She need a daddy Baby please, Can't let her grow up in that ghetto university  [Chorus] All of the lights Cop lights, flash lights, spot lights Strobe lights, street lights (All of the lights, all of the lights) Fast life, drug life Thug life, rock life Every night (All of the lights)  [Rihanna] Turn up the lights in here, baby Extra bright, I want y'all to see this Turn up the lights in here, baby You know what I need, want you to see everything Want you to see all of the lights  [Kid Cudi] Getting mine, baby Gotta let these n-ggas know, yeah Get it right, ay You should go and get your own  Getting mine, baby Gotta let these n-ggas know, yeah Get it right, ay You should go and get your own  [Fergie] Unemployment line, credit card declined Did I not mention I was about to lose my mind? (My mind, my mind, my mind) And also was about to do that line Okay, okay, you know we going all the way this time (This time, this time, this time) We going all the way this time (Time, time, time, time) We going all the way this time  We going all the way this time We going all the way this time  Turn up the lights in here, baby Extra bright, I want y'all to see this Turn up the lights in here, baby You know what I need, want you to see everything Want you to see all of the lights  [Alicia Keys] Whoaa-oh-whoa Whoaa-oh-whoa-oh  [Elton John] I tried to tell you but all I could say is ohhhh  [Alicia Keys] Whoaa-oh-whoa Whoaa-oh-whoa-oh  [Elton John] I tried to tell you but all I could say is ohhhh  [Alicia Keys] Whoaa-oh-whoa Whoaa-oh-whoa-oh  [Elton John] I tried to tell you but all I could say is ohhhh",Rihanna
5,American Oxygen,/rihanna/american-oxygen.html,,"Breathe out, breathe in American oxygen, ooh Every breath I breathe Chasin' this American Dream We sweat for a nickel and a dime Turn it into an empire, ooh Breathe in, this feeling American, American oxygen American oxygen, ooh Breathe in, this feeling American, american oxygen  I say, you see, this is the American Dream Young girl, hustlin' On the other side of the ocean You can be anything at all America, America I say, come see Just close your eyes and breathe  Breathe out, breathe in American oxygen, ooh Every breath I breathe Chasin' this American Dream We sweat for a nickel and a dime Turn it into an empire, ooh Breathe in, this feeling American, American oxygen American oxygen, ooh Breathe in, this feeling American, american oxygen American oxygen, ooh Breathe in, this feeling American, american oxygen  You say, you see, this is the American Dream Young boy, hustlin' Tryna get the wheels in motion But he can be anything at all America, America I say, can't see Just close your eyes and breathe  Breathe out, breathe in American oxygen, ooh Every breath I breathe Chasin' this American Dream We sweat for a nickel and a dime Turn it into an empire, ooh Breathe in, this feeling American, American oxygen  This is the new America We are the new America  This is the new America We are the new America  This is the new America We are the new America  This is the new America We are the new America   Breathe out, breathe in American oxygen, ooh Every breath I breathe Chasin' this American Dream We sweat for a nickel and a dime Turn it into an empire, ooh Breathe in, this feeling American, American oxygen American oxygen, ooh Breathe in, this feeling American, american oxygen  This is the new America We are the new America  This is the new America We are the new America  This is the new America We are the new America",Rihanna
6,Answer (Unreleased),/rihanna/answer-unreleased.html,,"You have my hands to hold So how come you won't hold me? Your words are so damn cold The winter can't affect me You're man enough to say What you think in my business But you can't say you love me Even in between the kisses  Tender, tender little kisses you give to me Just like you give to her tell me, how can you sleep? Teardrops, little teardrops fallin' in disbelief How can you lie to her while you lay with me?  Hey, hey, if you don't have an answer just don't say If you don't have an answer You don't have to answer Hey, hey, I'm sure your lips can find the words to say But if you don't have an answer You don't have to answer  Your arms around me now Felt like sunlight in the morning It always comes around But just not when I want it So all you have to give Is everything I needed But it's so hard to live Just wonderin' if you're givin'  Tender, tender little kisses you give to me Just like you give to her tell me, how can you sleep? Teardrops, little teardrops fallin' in disbelief How can you lie to her while you lay with me?  Hey, hey, if you don't have an answer just don't say If you don't have an answer You don't have to answer Hey, hey, I'm sure your lips can find the words to say But if you don't have an answer You don't have to answer  You'd rather make up a lie than make up a fight And then you get so upset when I ask you why, oh I wonder what makes you feel A part of you can't be real You said you'd never hurt me Then what do you think you did?  Hey, hey, if you don't have an answer just don't say If you don't have an answer You don't have to answer Hey, hey, I'm sure your lips can find the words to say But if you don't have an answer You don't have to answer  Hey, hey, if you don't have an answer just don't say If you don't have an answer You don't have to answer You don't have to answer",Rihanna
7,Antidote,/rihanna/antidote.html,,"I can be a convertable with the top off, ah, or I can be with a snakemare I could be the girl next store, ah, or I could make hell fall on, yeah I could be an angel, uh Wings in the back &amp; I'm flyin' I could be the one to hunt you You can sleep by me today  I can be a pleasurer or whatever you desire I can create an illusion of all your sorrow I can be a fantasy or I can be a terror  Take a chance, don't choke I just need a little dose Baby, tell me can you be my antidote?  Take me where you wanna take me I am what you make me Stay in the lead I'm lookin' for love ??? You got the power to save me I think your my antidote  I'm so mistic, I'm so mysterious (I think your my antidote) I'm so mistic, I'm so mysterious (I think your my antidote) I'm so mistic, I'm so mysterious (I think your my antidote) I'm so mistic, I'm so mysterious (I think your my antidote)  I can be a lanborghini with the sly seats Can be caught up in the web, that's it I can be number one top model Or I can turn into a dude (Or a guy) I can be a wonder woman I'ma turn into my superman I can be the one to hunt you You can sleep by me today  If you want I can show my public display of affection (uh-huh!) I can be the one to build you up or cause your destruction I can be a sweetheart, I can be the wifey, I can be a ??? (Oh, oh)  Take a chance, don't choke I just need a little dose Baby, tell me can you be my antidote?  Take me where you wanna take me I am what you make me Stay in the lead I'm lookin' for love ??? You got the power to save me I think your my antidote  I'm so mistic, I'm so mysterious (I think your my antidote) I'm so mistic, I'm so mysterious (I think your my antidote) I'm so mistic, I'm so mysterious (I think your my antidote) I'm so mistic, I'm so mysterious (I think your my antidote)  (I think your my antidote) ??? (I think your my antidote) ??? (I think your my antidote) ???  Take me where you wanna take me I am what you make me Stay in the lead I'm lookin' for love ??? You got the power to save me I think your my antidote  I'm so mistic, I'm so mysterious (I think your my antidote) I'm so mistic, I'm so mysterious (I think your my antidote) I'm so mistic, I'm so mysterious (I think your my antidote) I'm so mistic, I'm so mysterious (I think your my antidote)  I think your my antidote-dote-dote",Rihanna
8,As Real As You and Me,/rihanna/as-real-as-you-and-me.html,,"There could be a fade 'cause it ended There could be a fade of disease I know we hate to think about it But it's as real as you and me  It's as real as you and me  We could all fall down Before our Saviour could return I know we hate to think about it But it's as real as you and me  If I should go Hold my hand If I should leave Darling, cover me, please  The earth could quake to ruin We could drift off in our sleep I know we hate to think about it But it's as real as you and me  It's as real as you and me  The ocean could rush the shore And take us down forevermore I know we hate to think about it But it's as real as you and me  If I should go Hold my hand If I should leave Darling cover me, please  I know we hate to think about it But it's as real as you and me It's as real as you and me",Rihanna
9,Baby Brown Eyes,/rihanna/baby-brown-eyes.html,,"(trecho)  You're my sunrise My baby brown eyes You're my morning kiss and you're goodnight You're my ""yes I can"" I'll make you a better man The one I run to win Nobody understand You're my shining night You're always making right Everytime that I look into your baby brown eyes Look into your baby brown eyes",Rihanna
