,Nome da Música,link,album,letra,artista
0,...Tem Uma Cidade,/rita-lee/tem-uma-cidade.html,Atras do Porto Tem uma Cidade,"instrumental<img alt=""Instrumental"" class=""instrumental-icon"" src=""/img/etc/instrumental.png""/>",Rita Lee
1,2001 - Dois Mil E Um,/rita-lee/2001-dois-mil-e-um.html,3001,"Astronarta"" libertado Minha vida me ultrapassa Em qualquer rota que eu faça Dei um grito no escuro Sou parceiro do futuro Na reluzente galáxia  Eu quase posso ""palpar"" A minha vida que grita Emprenha e se reproduz Na velocidade da luz A cor do céu me compõe O mar azul me dissolve A equaçao me propõe Computador me resolve  Amei a velocidade Casei com sete planetas Por filho, cor e espaço Não me tenho nem me faço A rota do ano-luz Calculo dentro do passo Minha dor é cicatriz Minha morte não me quis  Nos braços de dois mil anos Eu nasci sem ter idade Sou casado, sou solteiro Sou baiano e estrangeiro Meu sangue é de gasolina Correndo não tenho mágoa Meu peito é de ""sar"" de fruta Fervendo no copo d'água",Rita Lee
2,3001,/rita-lee/3001.html,3001,"3001, 3001 3001, 3001  Lá no meio do 2000 O Sol fraco se sentiu E a ciência decidiu Levar a Terra e a Lua Com Júpiter ao nosso lado Pra orbitar outra estrela De ciclo mais prolongado  3001, 3001  (primeiro fez-se da Lua brilhante lâmpad'atômica pois Júpiter caloroso uma vez aproximado era um Sol improvisado)  3001, 3001, 3001  Assim, na longa viagem De anos trezentos mil (que no relativo do tempo em nossa vida real não durava mais que um pio)  O dia seria quente Com Júpiter Quase rente E a noite seria dia Onde a Lua reluzia  3001, 3001 3001, 3001, 3001 3001  3 milumiticummili Trê mi li um um um Tressimulitrr Trêssit t t Trêsse mili t mili t mili um um Um Trêre trêre trêre",Rita Lee
3,A Fulana,/rita-lee/a-fulana.html,Balacobaco,"Quem mandou não ouvir seu amigo Pois ele tinha toda razão Você não quis ficar comigo Agora eu não quero mais não Olha, meu querido Seu amigo Me contou que uma fulana Assim do nada, de repente, apareceu No fim quem se deu bem fui eu  A vida tem disso Na beira de um precipício Eu tava lá Querendo não querendo pular Na hora H um anjo chegou Me deu um beijo e se declarou Tchau pra você  Seu amigo é um cara bacana E sempre foi a fim de mim Você não, não, não pense Que é tão bom de cama Sua fama é assim, assim Você não sabe Você não é mau Mas seu amigo é bem mais legal E não esqueça que agora sou eu A namoradinha de um amigo seu  A vida tem disso No fim tudo faz sentido Então até mais Não adianta olhar pra trás Encontrei alguem que me ama Fique em paz com sua fulana Tchau pra você",Rita Lee
4,A Gripe do Amor,/rita-lee/a-gripe-do-amor.html,Balacobaco,"Não há vacina Nem vitamina Pega só de olhar Não tem benzedeira Chá de erva cidreira Capaz de curar a gripe do amor3x  Causa dependência Provoca furor Manemolência O coração não bate, apanha A alma faz manha  Peguei a gripe do amor Não adianta doutor tô tendo um piripaque Por favor, não me salve Quero morrer de amor   Peguei a gripe do amor Não adianta doutor tô tendo um piripaque Por favor, não me salve Quero morrer de amor   Se você me ama Vem ficar de cama Vem cuidar de mim Por uma semana, um, mes, um ano A vida inteira  Peguei a gripe do amor Não adianta doutor tô tendo um piripaque Por favor, não me salve Quero morrer de amor 6x",Rita Lee
5,A Hard Day's Night,/rita-lee/a-hard-days-night.html,"Aqui, Ali, Em Qualquer Lugar","It's been a hard day's night And I've been workin' like a dog. It's been a hard day's night. I should be sleepin' like a log,  But when I get home to you, I find the things that you do Will make me feel alright.  You know I work all day To get you money to buy you things And it's worth it just to hear you say, You're gonna give me everything.  So why on earth should I moan? 'Cause when I get you alone, You know a feel okay.  When I'm home, Everything seems to be right. When I'm home, Feeling you holding me tight. Tight, yeah.  It's been a hard day's night And I've been workin' like a dog. It's been a hard day's night. I should be sleepin' like a log,  But when I get home to you, I find the things that you do Make me feel alright. You make me feel alright. You know I feel alright.",Rita Lee
6,A Marca da Zorra,/rita-lee/a-marca-da-zorra.html,A Marca da Zorra Ao Vivo,"Bem vindo a Sodoma e Gomorra Aqui jaz sua bela cidade Você é prisioneiro na masmorra  Dos avatares da mediocridade Uhh uhuuu! Uhuhuuuuuuu  Não, não, não, não, não há quem lhe socorra  O mau gosto assola a humanidade  Não corra, não mate, não morra no trajeto   Ligue já, disk-Zorra direto uhh uhuuu!  Disk-Zorra direto  Que porra é essa Essa é a marca da Zorra?   Que porra é essa? Essa é a marca da Zorra  Que porra é essa? Essa é a marca da zorra, Zorra, zorra...  Que porra é essa? Essa é a marca da zorra  Uh Uh uh uh Marca da zorra uh uh ....Yeah.....Marca da zorra, zorra, zorra  Que porra é essa? Uh uh Auuuuuu........  Marca da Zorra ahh zorra",Rita Lee
7,A Minha Menina,/rita-lee/a-minha-menina.html,Regravação de Mutantes,Ela é minha menina E eu sou o menino dela Ela é o meu amor E eu sou o amor todinho dela  A lua prateada se escondeu E o sol dourado apareceu Amanheceu um lindo dia Cheirando a alegria Pois eu sonhei E acordei pensando nela  Pois ela é minha menina E eu sou o menino dela Ela é o meu amor E eu sou o amor todinho dela  A roseira já deu rosas E a rosa que eu ganhei foi ela Por ela eu ponho o meu coração Na frente da razão E vou dizer Pra todo mundo Como gosto dela  Pois ela é minha menina E eu sou o menino dela Ela é o meu amor E eu sou o amor todinho dela  A lua prateada se escondeu E o sol dourado apareceu Amanheceu um lindo dia Cheirando alegria Pois eu sonhei E acordei pensando nela  Pois ela é minha menina E eu sou o menino dela Ela é o meu amor E eu sou o amor todinho dela,Rita Lee
8,Agora É Moda,/rita-lee/agra-e-moda.html,Babilônia,"Agora é moda, sair nua em capa de revista Agora é moda, pichar a vida de artista Agora é moda, bionicar o corpo inteiro Agora é moda, culpar o mercado estrangeiro Dance, dance, dance - Dancei!  Agora é moda, poupar dinheiro pro futuro Agora é moda, pegar alguém pulando o muro Agora é moda, acontecer uma tragédia Agora é moda, a inquisição da Idade Média Dance, dance, dance - Dancei!  Agora é moda, matar pra não morrer de fome Agora é moda, chauvinista pra ser homem Agora é moda, ter vocação pra ser famoso Agora é moda, saber que dói mas é gostoso Dance, dance, dance - Dancei!  Agora é moda, economizar a gasolina Agora é moda, coroa e cara de menina Agora é moda, tentar salvar a natureza Agora é moda, achar que tudo é uma pobreza Dance, dance, dance - Dancei!  Agora é moda, chorar de tanto dar risada Agora é moda, morrer na curva de uma estrada Agora é moda, ser o dono da verdade ah, ah Agora é moda, dizer que amor não tem idade Dance, dance, dance - Dancei!  Agora é moda, bancar o fino e educado Agora é moda, dançar pra não ficar parado Agora é moda, fazer novela de vanguarda Agora é moda, chegar depois da hora marcada Cheguei! Dance, dance, dance - Dancei",Rita Lee
9,Agora Só Falta Você,/rita-lee/agora-so-falta-voce.html,The Greatest Hits,"Um belo dia resolvi mudar E fazer tudo o que eu queria fazer Me libertei daquela vida vulgar Que eu levava estando junto a você E em tudo que eu faço Existe um porquê Eu sei que eu nasci Eu sei que eu nasci pra saber  E fui andando sem pensar em voltar E sem ligar pro que me aconteceu Um belo dia vou lhe telefonar Pra lhe dizer que aquele sonho cresceu No ar que eu respiro, uu Eu sinto prazer De ser quem eu sou De estar onde estou Agora só falta você, iê, iê Agora só falta você, aaa... Agora só falta você, iê, iê Agora só falta você, au!  E fui andando sem pensar em voltar E sem ligar pro que me aconteceu Um belo dia vou lhe telefonar Pra lhe dizer que aquele sonho cresceu No ar que eu respiro, uu Eu sinto prazer De ser quem eu sou De estar onde estou Agora só falta você, iê, iê Agora só falta você, aaa... Agora só falta você, iê, iê",Rita Lee
10,Algo Mais,/rita-lee/algo-mais.html,,"Olha meu irmão Vamos passear, vamos voar Dê a partida, acelere a vida Vamos amar Ande depressa A vida tem algo mais para dar  Olha meu irmão Vamos passear, vamos voar Vida no tanque, subiu no sangue Vida no ar Ande depressa A vida tem algo mais para dar  Giro aflito, beijo e grito Algo mais! Algo mais! Algo Mais! Shell!",Rita Lee
