,Nome da Música,link,album,letra,artista
0,'03 Bonnie & Clyde,/beyonce/03-bonnie-clyde.html,I Am... Yours: An Intimate Performance at Wynn Las Vegas (CD/DVD),"Jay-z Uh-uh-uh You ready b? Let's go get 'em.  Look for me, young b, Cruisin down the west side highway Doin what we like to do our way, Eyes behind shades This necklace the reason all of my dates Been blind dates. But today I've got my thoroughest girl with me, I'm mashin' the gas, she's grabbin the wheel, It's true to the heart She rides wit me the new bobby and whitney Only time we don't speak is durin ""sex and the city"" She gets carrie feva, but soon as the show's ova She's right back to being my souljah Cuz mami's a rida, and I'm a rolla Put us togetha, how they gon stop both us? Whateva she lacks, I'm right over her shoulder When I'm off track mami is keepin me focused So let's lock this down like it's supposed to be The 03 bonnie and clyde, hov and b, Holla  ::Chorus:: All I need in this life of sin Is me and my girlfriend (me and my girlfriend) Down to ride till the very end, it's me and my boyfriend (me and my boyfriend) All I need in this life of sin Is me and my girlfriend (me and my girlfriend) Down to ride till the very end, it's me and my boyfriend (me and my boyfriend)  ::Jay-z:: The problem is, you dudes treat the one that you lovin Wit the same respect that you treat the one that you humpin That ain't by nothin, if eva you mad about somethin, It won't be that, oh no it won't be that. I don't be at places where we comfy at with no be-atch, Oh no you won't see that And no I ain't perfect. nobody walkin this earths surfaces is But girlfriend work with the kid. I keep you workin that hermes birkin bag. Manolo blahnik timbs,aviator lens 600 drops, mercedes benz The only time you wear burberry to swim And I don't have to worry, Only worry is him She do anything necessary for him And I do anything necessary for her. So don't let the necessary occur. yep!  ::Chours:: All I need in this life of sin Is me and my girlfriend. Down to ride till the very end, it's me and my boyfriend. All I need in this life of sin Is me and my girlfriend. Down to ride till the very end, it's me and my boyfriend.  ::Jay-z:: Talk to em b  ::Beyonce:: If I was your girlfriend, I'd be there for you if somebody hurts you, Even if that somebody was me, yaa-hee. Sometimes I trip on how happy we could be. And so I put this on my life, Nobody or nothing will ever come between us. And I promise I'll give my life, my love And my trust if you was my boyfriend.  ::Jay-z:: One more time.  ::Beyonce:: I put this on my life, The air that I breathe in, all that I believe in. I promise I'll give my life, My love and my trust if you was my boyfirend.  ::Chours:: All I need in this life of sin Is me and my girlfriend. Down to ride till the very end, it's me and my boyfriend. All I need in this life of sin Is me and my girlfriend. Down to ride till the very end, it's me and my boyfriend.",Beyoncé
1,***Flawless (Feat. Chimamanda Ngozi Adichie),/beyonce/flawless-feat-chimamanda-ngozi-adichie.html,BEYONCÉ,"Your challengers are a young group from Houston Welcome Beyonce, Lativia, Nina, Nicky, Kelly, and Ashley The Hip-Hop Rappin' 'Girls Tyme'  I'm out that H-town, coming, coming down I'm coming down dripping candy on the ground H, H-town, town, I'm coming down Coming down, dripping candy on the ground  I know when you were little girls You dreamt of being in my world Don't forget it, don't forget it Respect that, bow down bitches  I took some time to live my life But don't think I'm just his little wife Don't get it twisted, get it twisted This my shit, bow down bitches  Bow down bitches, bow bow down bitches (Crown) Bow down bitches, bow bow down bitches (Crown) H Town bitches H, H Town bitches I'm so crown crown, bow down bitches  I'm out that H, town, coming coming down I'm coming down, drippin' candy on the ground On the ground  H, H town town I'm coming down Coming down Drippin' candy on the ground  (Chimamanda Ngozi Adichie) We teach girls to shrink themselves To make themselves smaller We say to girls ""You can have ambition But not too much You should aim to be successful But not too successful Otherwise you will threaten the man"" Because I am female I am expected to aspire to marriage I am expected to make my life choices Always keeping in mind that Marriage is the most important Now marriage can be a source of Joy and love and mutual support But why do we teach girls to aspire to marriage And we don't teach boys the same? We raise girls to each other as competitors Not for jobs or for accomplishments Which I think can be a good thing But for the attention of men We teach girls that they cannot be sexual beings In the way that boys are Feminist - the person who believes in the social Political, and economic equality of the sexes  You wake up, flawless Post up, flawless Ride round in it, flawless Flossin on that, flawless This diamond, flawless My diamond, flawless This rock, flawless My Roc, flawless I woke up like this I woke up like this We flawless, ladies tell 'em I woke up like this I woke up like this We flawless, ladies tell 'em Say I, look so good tonight God damn, God damn Say I, look so good tonight God damn, God damn  Momma taught me good home training My Daddy taught me how to love my hater s My sister taught me I should speak my mind My man made me feel so God damn fine  You wake up, flawless Post up, flawless Ride round in it, flawless Flossin on that, flawless This diamond, flawless My diamond, flawless This rock, flawless My Roc, flawless I woke up like this I woke up like this We flawless, ladies tell 'em I woke up like this I woke up like this We flawless, ladies tell 'em Say I, look so good tonight God damn, God damn Say I, look so good tonight God damn, God damn  The Judges give champion Skeleton Groove 4 Stars A perfect score And the challenger Girls Tyme receives, 3 stars Skeleton Groove, champions once again Congratulations, we'll see you next week",Beyoncé
2,***Flawless (Feat. Nicki Minaj),/beyonce/flawless-feat-nicki-minaj.html,BEYONCÉ [Platinum Edition],"Dum-da-de-da Do, do, do, do, do, do (Coming down, dripping candy on the ground)  It stay Yoncé, your Yoncé in that lingerie On that chardonnay, scorin' touchdowns on your runway I'm Texas forever like Bun B, and I'm redboned yo I'm really rit like Donjae, I'm camo in here yo These thots can't clock me nowadays You wish I was your pound cake Boy you know I look good as fuck You wish I was your babymomma Want me to come around and give you good karma, but no We escalate, up in this bitch like elevators Of course sometimes shit go down When it's a billion dollars on an elevator Of course sometimes shit go down When it's a billion dollars on an elevator (Ha, ha, God damn, God damn, God damn)  Momma taught me good home training My Daddy taught me how to love my haters My sister taught me I should speak my mind My man made me feel so God damn fine (I'm flawless!)  You wake up, flawless Post up, flawless Ridin' round in it, flawless Flossin' on that, flawless This diamond, flawless My diamond, flawless This rock, flawless My Roc, flawless I woke up like this, I woke up like this We flawless, ladies tell 'em I woke up like this, I woke up like this We flawless, ladies tell 'em Say ""I look so good tonight"" God damn, God damn Say ""I look so good tonight"" God damn, God damn, God damn  I wake up looking this good And I wouldn't change it if I could (If I could, if I, if I, could) And you can say what you want I'm the shit (what you want I'm the shit) I'm the shit, I'm the shit, I'm the shit I want everyone to feel like this, tonight God damn, God damn, God damn  (Onika...) Looking Trinidadian, Japanese and Indian Got Malaysian, got that yaki, that wavy Brazilian (Them bitches thirsty, I'm Hungarian Nicki, B, be eatin' diamond fangs, barbarian, ah) Yo, like MJ doctor, they killing me Propofol, I know they hope I fall But tell 'em winning is my motherfuckin' protocol 'Cause I score before I ever throw the ball These bitches washed up and ain't no fuckin' soap involved This every hood nigga dream, fantasizing about Nicki and B Curvalicious, pussy served delicious Mayday mayday, earth to bitches Slap these hoes on they ass like we birthing bitches, uh The queen of rap, slayin with Queen B If you ain't on the team, you playin' for team D 'Cause we A-listers, we paid sisters This watch right here done phased blizzards I confess, I woke up like this All this drank in my cup like this All this ass on that flawless dick Instagram another flawless pic Flawless city with these flawless titties I got all these hundreds, you got all them fifties I'm with some flawless bitches 'cause they be mobbin' pretty 'Cause niggas love bad bitches that be on they grizzly Throw that ass back I be on my frisbee Princess cut diamonds on my Disney He want monster Nicki in Sri Lanka I told 'em meet me at the Trump, Ivanka I said come here let me show you how this cookie tastes This that ""yeah nigga eat the cookie"" face  (Right, right, right)",Beyoncé
3,1+1,/beyonce/11.html,BEYONCÉ [Platinum Edition],"If I ain't got nothing I got you If I ain't got something I don't give a damn 'Cause I got it with you  I don't know much about algebra But I know 1 plus 1 equals 2 And it's me and you That's all you have when the world is through  'Cause baby we ain't got nothing without love Darling, you got enough for the both of us So come on, baby, make love to me When my days look low Pull me in close and don't let me go Make love to me So when the world is at war Let our love heal us all Right now, baby, make love to me Oh, make love to me  Hey, I don't know much about guns but I I've been shot by you Hey, and I don't know when I'm gon' die But I hope that I'm gon' die by you Hey, I don't know much about fighting But I, I know I'll fight for you Hey, just when I balled up my fists I realized I'm laying right next to you  Baby we ain't got nothing but love And darling you got enough for the both of us Make love to me When my days look low Pull me in close and don't let me go Make love to me So when the world is at war Let our love heal us all Help me let down my guard Make love to me  Me, me, me, me... Oh Make love to me",Beyoncé
4,6 Inch (Feat. The Weeknd),/beyonce/6-inch-feat-the-weeknd.html,LEMONADE,"Six inch heels She walked in the club like nobody's business Goddamn, she murdered everybody And I was her witness  She's stacking money, money everywhere she goes You know, pesos out of Mexico De uno, commas and them decimals She don't gotta give it up, she professional She mixing up that Ace with that Hennessy She love the way it tastes, that's her recipe Rushing through her veins like it's ecstasy, oh no She already made enough but she'll never leave  Six inch heels She walked in the club like nobody's business Goddamn, she murdered everybody And I was her witness  She works for the money, she work for the money From the start to the finish And she worth every dollar, she worth every dollar And she worth every minute She works for the money She works for the money She works for the money She works for the money  She stack her money, money everywhere she goes She got that Sake Her Yamazaki straight from Tokyo Oh baby you know She got them commas and them decimals She don't gotta give it up cause she professional  Six inch heels She walked in the club like nobody's business Goddamn, she murdered everybody And I was her witness  She works for the money, she work for the money From the start to the finish And she worth every dollar, she worth every dollar And she worth every minute  Stars in her eyes She fights for the power, keeping time She grinds day and night She grinds from Monday to Friday Works from Friday to Sunday She gon' slang She too smart to crave material things She pushing herself day and night She grinds from Monday to Friday Works from Friday to Sunday Oh, stars in her eyes She fights and she sweats those sleepless nights But she don't mind, she loves the grind She grinds from Monday to Friday Works from Friday to Sunday Yeah, yeah, she gon' slang Too smart to crave material things Stacking her paper Stacking her cake up She grinds from Monday to Friday Works from Friday to Sunday  Six inch heels She walked in the club like nobody's business Goddamn, she murdered everybody And I was her witness  She works for the money, she work for the money From the start to the finish And she worth every dollar, she worth every dollar And she worth every minute  Oh, gonna make you feel You always come back to me Come back, come back Come back, come back Come back, come back, come back",Beyoncé
5,632-5792,/beyonce/632-5792.html,,"(hello) hello How are you (oh) I just got to say I hold you You know I had some things to do Go lean up in me You know I guess I was kind of shy (how about) Someone who writes for a dream Or maybe you can see Maybe you can sing a song (mmm)  (tonight I'm bout to have fun)  (I dial...)  [chorus:] 632-5792(number) 632-5792(mmm) 632-5792 632-5792(he said: call me anytime) 632-5792 632-5792 632-5792 632-5792  [verse 2:] We talked about love songs (on and on and on) There's nothing wrong with calling, a quite song And having them play a song for me A song for you, a song for me a song It's getting late And I can't wait I have to go to sleep I'm happy I will speak But maybe I will be dreaming...  [hook:] Dream of you And we sing a lullaby (sing a lullaby) Underneath a cherry tree As softly passes by And carries us away High in the sky When I your way  (you know I'm going to die)  [chorus:] 632-5792(sing me a lalaby) 632-5792(I think I'll call you tonight) 632-5792(oooohhhh) 632-5792(yeahh) 632-5792(you baby) 632-5792(ooohh oh oh yeah) 632-5792(you and me) 632-5792 632-5792(I just call to say hi) 632-5792 632-5792",Beyoncé
6,7/11,/beyonce/7-11.html,Homecoming: The Live Album,"Shoulders sideways, smack it, smack it in the air Legs movin' side to side, smack it in the air Legs movin' side to side, smack you in the air Shoulders sideways, smack it, smack it in the air Smack it, smack it in the air Legs movin' side to side, smack it, smack it in the air Smack it, smack it in the air  Wave your hands side to side, put it in the air Wave your hands side to side, put it in the air Clap, clap, clap like you don't care Smack that, clap, clap, clap like you don't care (I know you care)  Clap, clap, clap, clap, clap it Foot up, my foot up Hold up now my foot up I'm spinin' my foot up Foot up yeah my foot up I'm spinin' my foot up Put my foot down yeah my hands up My hands up, my hands up  Flexin' while my hands up My hands up, my hands up I stand up with my hands up Then I put up, my hands up I put up, my hands up I put up, my hands up Then I'm spinnin' all my hands up  Spinin' while my hands up Spinin' while my hands up Spinin' while my hands up Then I'm tippin' all my hands up Spinnin', I'm spinnin' I'm ' while my hands up I'm Spinin', I'm spinnin' I'm spinnin' while my hands up (Drank)  Hold that cup like alcohol, Hold that cup like alcohol, Hold that cup like alcohol, Don't you drop that alcohol Never drop that alcohol, never drop that alcohol I know you thinkin' bout alcohol I know I'm thinkin' bout that alcohol  Man it feel like rollin' dice, man it feel like rollin' dice Seven eleven, seven eleven, seven twice, man seven twice Man it feel like rollin' dice, man this feel like rollin' dice Man it feel like rollin' dice Seven twice, seven twice  Girl I'm tryna kick it with you Girl I'm tryna kick it with you Man I'm tryna kick it with you My feet up, I kick it with you Man I swear I kick it with you Man I swear I kick it with you Girl I wanna kick it with you Man I know I kick it with you Yeah I spin' around and I kick it with you  Shoulders sideways, smack it, smack it in the air Legs movin' side to side, smack it in the air Legs movin' side to side, smack you in the air Shoulders sideways, smack it, smack it in the air Smack it, smack it in the air Legs movin' side to side, smack it, smack it in the air Smack it, smack it in the air  Wave your hands side to side, put it in the air Wave your hands side to side, put it in the air Clap, clap, clap like you don't care Smack that, clap, clap, clap like you don't care (I know you care)  Wave your hands side to side Wave your hands side to side Wave your hands side to side Wave your hands side to side  Ooh we be be freaky deaky Then we switchy pink bikini Rock out that booty [?] Sweatin' on my blow out Sweatin' on my dress This trick about to go off Mad cause I'm so fresh Fresher than you I'm fresher than you Fresher than you",Beyoncé
7,7/11 (DJ Mustard Remix),/beyonce/7-11-dj-mustard-remix.html,,"Clap, clap, clap like you don't care  Ooh we be be freaky deaky Then we switchy pink bikini Rock that groovy dye dashiki Nefertiti, edges kinky Sweatin' on my blow out Sweatin' on my dress This trick about to go off Mad cause I'm so fresh Fresher than you  Mustard on the beat  Smack it, smack it, smack it, smack it in the air Clap, clap, clap like you don't care Smack it, smack it, smack it, smack it in the air  Ooh we be be freaky deaky Then we switchy pink bikini Rock that groovy dye dashiki Nefertiti, edges kinky Sweatin' on my blow out Sweatin' on my dress This trick about to go off Mad cause I'm so fresh Fresher than you  Fresher than you  Put it on that beat  Clap, clap, clap like you don't care  Smack it, smack it, smack it, smack it in the air Clap, clap, clap like you don't care Smack it, smack it, smack it, smack it in the air  I'm so fresh I'm so fresh I'm so fresh",Beyoncé
8,7/11 (Skrillex & Diplo Remix),/beyonce/7-11-skrillex-diplo-remix.html,,"Shoulders sideways, smack it, smack it in the air Legs movin' side to side, smack it in the air Legs movin' side to side, smack it in the air Shoulders sideways, smack it, smack it in the air Smack it, smack it in the air Legs movin' side to side, smack it in the air Shoulders sideways, smack it, smack it  Clap, clap, clap like you don't care Clap, clap, clap like you don't care Clap, clap, clap, clap, clap, clap Like you don't care  Smack it, smack it in the air Smack it, smack it in the air  Wave your hands side to side, put it in the air Wave your hands side to side, put it in the air Clap, clap, clap like you don't care Smack that, clap, clap, clap like you don't care (I know you care)  Clap, clap, clap, clap, clap it Foot up, my foot up Hold up now my foot up I'm spinnin' my foot up Foot up yeah my foot up I'm spinnin' my foot up Put my foot down yeah my hands up My hands up, my hands up  Flexin' while my hands up My hands up, my hands up I stand up with my hands up Then I put up, my hands up I put up, my hands up I put up, my hands up Then I'm spinnin' all my hands up  Spinnin' while my hands up Spinnin' while my hands up Spinnin' while my hands up Then I'm tippin' all my hands up Spinnin', I'm spinnin' I'm spinnin' while my hands up I'm Spinnin', I'm spinnin' I'm spinnin' while my hands up  Clap, clap, clap like you don't care Clap, clap, clap like you don't care Clap, clap, clap, clap, clap, clap Like you don't care  Smack it, smack it in the air Smack it, smack it in the air  Man it feel like rollin' dice, man it feel like rollin' dice Seven eleven, seven eleven, seven twice, man seven twice Man it feel like rollin' dice, man this feel like rollin' dice Man it feel like rollin' dice Seven twice, seven twice  Girl I'm tryna kick it with you Girl I'm tryna kick it with you Man I'm tryna kick it with you My feet up, I kick it with you Man I swear I kick it with you Man I swear I kick it with you Girl I wanna kick it with you Man i know I kick it with you Yeah I spin' around and I kick it with you  Shoulders sideways, smack it, smack it in the air Legs movin' side to side, smack it in the air Legs movin' side to side, smack you in the air Shoulders sideways, smack it, smack it in the air  Wave your hands side to side, put it in the air Wave your hands side to side, put it in the air Clap, clap, clap like you don't care Smack that, clap, clap, clap like you don't care",Beyoncé
9,A Woman Like Me,/beyonce/a-woman-like-me.html,,"Do you think You could fall for a woman like me 'Cause I find it hard to trust I need too much And I really don't believe in love, no no Do you think That I could be the girl of your dreams Sometimes I don't let things go Get emotional And sometimes I'm just out of control  You need to stop for a minute Before you get too, deep up in it (Too deep) 'Cause everything ain't what it seems It's hard loving a woman A woman like me (Woman like me) You need to think about it Before you get hooked on the venom And can't live without it (No no) Can't believe everything you see It's hard loving a woman A woman like me  Do you think That I could be the one that you seek 'Cause baby I'm one step ahead You're two steps behind But baby I don't mind Do you think That I can make you real happy baby Just don't get me wrong My loving is so strong But I ain't tryna lead you on  You need to stop for a minute (No no) Before you get too, deep up in it (No no) 'Cause everything ain't what it seems (Seems) It's hard loving a woman A woman like me (Woman like me) You need to think about it Before you get hooked on the venom And can't live without it (Without it) Can't believe everything you see It's hard loving a woman A woman like me  Woman like me Woman like me Woman like me Oh  You need to stop for a minute (Stop for a minute) Before you get too, deep up in it (Before you get too deep up in it) 'Cause everything ain't what it seems It's hard loving a woman A woman like me You need to think about it (Think about it, baby) Before you get hooked on the venom And can't live without it (No, no) Can't believe everything you see It's hard loving a woman  A woman like me Woman like me Woman like me Woman like me",Beyoncé
